
     Z         PRESS      DEN     ProOH1    ProOH25    ProO3D    PO2D       PO2      PH2O      PO3D      PH2O2     FO3      FH2O      NumO2      NumOH      NumO1D
   5.000E+04 9.561E+05 2.429E+19 6.416E+05 1.750E+06 5.234E+06 0.000E+00 3.170E-12 6.397E-12 1.725E-05 2.822E-06 1.249E-08 1.127E-02 5.100E+16 3.140E+06 7.126E-03
   1.500E+05 8.499E+05 2.209E+19 5.525E+05 1.300E+06 6.956E+06 0.000E+00 3.679E-12 8.427E-12 1.875E-05 3.067E-06 1.679E-08 6.983E-03 4.650E+16 3.221E+06 1.082E-02
   2.500E+05 7.535E+05 2.006E+19 4.738E+05 9.225E+05 9.742E+06 0.000E+00 4.265E-12 1.107E-11 2.000E-05 3.290E-06 2.429E-08 4.153E-03 4.229E+16 3.282E+06 1.710E-02
   3.500E+05 6.661E+05 1.816E+19 3.608E+05 5.973E+05 1.338E+07 0.000E+00 4.946E-12 1.454E-11 2.091E-05 3.498E-06 3.523E-08 2.261E-03 3.838E+16 3.178E+06 2.625E-02
   4.500E+05 5.874E+05 1.629E+19 3.011E+05 4.410E+05 1.769E+07 0.000E+00 5.747E-12 1.911E-11 2.187E-05 3.692E-06 4.964E-08 1.417E-03 3.449E+16 3.320E+06 3.882E-02
   5.500E+05 5.167E+05 1.464E+19 2.129E+05 2.875E+05 2.254E+07 0.000E+00 6.691E-12 2.508E-11 2.265E-05 3.877E-06 6.797E-08 7.831E-04 3.104E+16 3.203E+06 5.498E-02
   6.500E+05 4.532E+05 1.317E+19 1.247E+05 1.623E+05 2.764E+07 0.000E+00 7.815E-12 3.295E-11 2.329E-05 4.058E-06 9.009E-08 3.740E-04 2.798E+16 2.858E+06 7.445E-02
   7.500E+05 3.961E+05 1.182E+19 6.536E+04 8.520E+04 3.267E+07 0.000E+00 9.164E-12 4.338E-11 2.394E-05 4.238E-06 1.154E-07 1.662E-04 2.514E+16 2.445E+06 9.717E-02
   8.500E+05 3.450E+05 1.058E+19 2.994E+04 4.042E+04 3.736E+07 0.000E+00 1.078E-11 5.719E-11 2.468E-05 4.423E-06 1.431E-07 6.682E-05 2.252E+16 2.059E+06 1.228E-01
   9.500E+05 2.988E+05 9.621E+18 6.413E+03 9.458E+03 4.140E+07 1.442-289 1.273E-11 7.546E-11 2.481E-05 4.616E-06 1.735E-07 1.303E-05 2.049E+16 1.565E+06 1.463E-01
   1.050E+06 2.567E+05 8.854E+18 5.044E+02 8.260E+02 4.628E+07 4.921-239 1.513E-11 1.003E-10 2.433E-05 4.825E-06 2.149E-07 9.298E-07 1.886E+16 1.402E+06 1.716E-01
   1.150E+06 2.193E+05 7.564E+18 6.539E+02 9.764E+02 5.900E+07 3.214-208 1.832E-11 1.365E-10 2.691E-05 5.061E-06 2.899E-07 9.456E-07 1.611E+16 1.344E+06 2.561E-01
   1.250E+06 1.873E+05 6.462E+18 9.633E+02 1.202E+03 8.375E+07 7.895-182 2.266E-11 1.895E-10 3.045E-05 5.339E-06 4.256E-07 9.814E-07 1.376E+16 1.332E+06 4.254E-01
   1.350E+06 1.601E+05 5.521E+18 1.525E+03 1.595E+03 1.234E+08 3.632-159 2.908E-11 2.738E-10 3.591E-05 5.702E-06 6.223E-07 1.055E-06 1.176E+16 1.519E+06 7.336E-01
   1.450E+06 1.368E+05 4.718E+18 2.409E+03 2.300E+03 1.744E+08 1.268-139 3.891E-11 4.137E-10 4.482E-05 6.207E-06 8.246E-07 1.179E-06 1.004E+16 1.911E+06 1.213E+00
   1.550E+06 1.169E+05 4.031E+18 3.651E+03 3.506E+03 2.301E+08 1.091-122 5.354E-11 6.425E-10 5.931E-05 6.917E-06 9.624E-07 1.354E-06 8.580E+15 2.551E+06 1.874E+00
   1.650E+06 9.986E+04 3.445E+18 5.279E+03 5.417E+03 2.858E+08 6.022-108 7.416E-11 9.980E-10 8.216E-05 7.895E-06 1.010E-06 1.576E-06 7.331E+15 3.568E+06 2.724E+00
   1.750E+06 8.534E+04 2.944E+18 7.243E+03 8.180E+03 3.374E+08 4.583E-95 1.016E-10 1.517E-09 1.172E-04 9.199E-06 9.783E-07 1.832E-06 6.264E+15 5.091E+06 3.763E+00
   1.850E+06 7.293E+04 2.516E+18 9.416E+03 1.182E+04 3.814E+08 8.753E-84 1.364E-10 2.232E-09 1.702E-04 1.090E-05 8.909E-07 2.106E-06 5.353E+15 7.226E+06 4.976E+00
