
     Z         PRESS      DEN     ProOH1    ProOH25    ProO3D    PO2D       PO2      PH2O      PO3D      PH2O2     FO3      FH2O      NumO2      NumOH      NumO1D
   5.000E+04 9.559E+05 2.428E+19 2.870E+05 1.395E+01 2.362E+06 0.000E+00 1.967E-16 5.100E-17 9.538E-06 2.395E-06 1.020E-08 1.127E-02 5.099E+17 7.202E+05 3.188E-03
   1.500E+05 8.495E+05 2.208E+19 2.200E+05 2.267E+01 2.795E+06 0.000E+00 5.250E-16 1.470E-16 1.024E-05 2.593E-06 1.236E-08 6.984E-03 4.639E+17 7.651E+05 4.311E-03
   2.500E+05 7.529E+05 2.004E+19 1.616E+05 3.135E+01 3.354E+06 0.000E+00 1.269E-15 3.767E-16 1.077E-05 2.770E-06 1.554E-08 4.153E-03 4.210E+17 8.062E+05 5.836E-03
   3.500E+05 6.654E+05 1.814E+19 1.050E+05 3.534E+01 3.932E+06 0.000E+00 2.781E-15 8.617E-16 1.105E-05 2.930E-06 1.961E-08 2.261E-03 3.812E+17 8.116E+05 7.652E-03
   4.500E+05 5.865E+05 1.627E+19 7.577E+04 4.122E+01 4.498E+06 0.000E+00 5.588E-15 1.790E-15 1.133E-05 3.074E-06 2.439E-08 1.416E-03 3.419E+17 8.477E+05 9.791E-03
   5.500E+05 5.158E+05 1.461E+19 4.651E+04 3.926E+01 4.977E+06 0.000E+00 1.040E-14 3.435E-15 1.143E-05 3.205E-06 2.981E-08 7.822E-04 3.072E+17 8.291E+05 1.205E-02
   6.500E+05 4.522E+05 1.314E+19 2.378E+04 3.049E+01 5.330E+06 0.000E+00 1.815E-14 6.214E-15 1.133E-05 3.324E-06 3.578E-08 3.733E-04 2.763E+17 7.462E+05 1.425E-02
   7.500E+05 3.951E+05 1.179E+19 1.099E+04 2.113E+01 5.564E+06 0.000E+00 3.003E-14 1.082E-14 1.114E-05 3.435E-06 4.235E-08 1.657E-04 2.479E+17 6.444E+05 1.643E-02
   8.500E+05 3.440E+05 1.055E+19 4.497E+03 1.302E+01 5.693E+06 0.000E+00 4.758E-14 1.856E-14 1.087E-05 3.538E-06 4.966E-08 6.649E-05 2.218E+17 5.679E+05 1.859E-02
   9.500E+05 2.979E+05 9.589E+18 8.529E+02 3.995E+00 5.610E+06 0.000E+00 7.323E-14 3.228E-14 1.006E-05 3.636E-06 5.818E-08 1.291E-05 2.017E+17 5.321E+05 1.970E-02
   1.050E+06 2.557E+05 8.821E+18 5.802E+01 4.677E-01 5.508E+06 0.000E+00 1.116E-13 5.848E-14 8.772E-06 3.732E-06 7.118E-08 9.066E-07 1.855E+17 5.625E+05 2.032E-02
   1.150E+06 2.184E+05 7.533E+18 7.148E+01 7.543E-01 6.704E+06 0.000E+00 1.686E-13 1.091E-13 9.003E-06 3.825E-06 9.886E-08 9.177E-07 1.584E+17 5.573E+05 2.896E-02
   1.250E+06 1.865E+05 6.433E+18 1.049E+02 1.231E+00 9.572E+06 0.000E+00 2.519E-13 2.029E-13 9.241E-06 3.914E-06 1.610E-07 9.431E-07 1.353E+17 5.337E+05 4.842E-02
   1.350E+06 1.593E+05 5.494E+18 1.719E+02 2.040E+00 1.486E+07 0.000E+00 3.759E-13 3.729E-13 9.529E-06 4.002E-06 2.838E-07 9.955E-07 1.155E+17 5.348E+05 8.801E-02
   1.450E+06 1.360E+05 4.692E+18 2.832E+02 3.456E+00 2.246E+07 0.000E+00 5.657E-13 6.787E-13 9.929E-06 4.094E-06 4.821E-07 1.085E-06 9.868E+16 5.969E+05 1.557E-01
   1.550E+06 1.162E+05 4.008E+18 4.447E+02 5.984E+00 3.152E+07 0.000E+00 8.615E-13 1.230E-12 1.053E-05 4.195E-06 7.473E-07 1.214E-06 8.428E+16 6.964E+05 2.559E-01
   1.650E+06 9.939E+04 3.364E+18 6.895E+02 1.032E+01 4.272E+07 3.534-305 1.321E-12 2.216E-12 1.190E-05 4.309E-06 1.067E-06 1.384E-06 7.074E+16 8.051E+05 4.173E-01
   1.750E+06 8.515E+04 2.882E+18 1.007E+03 1.821E+01 5.443E+07 1.298-264 2.032E-12 3.983E-12 1.325E-05 4.443E-06 1.426E-06 1.587E-06 6.060E+16 9.312E+05 6.205E-01
   1.850E+06 7.302E+04 2.442E+18 1.448E+03 3.168E+01 6.820E+07 1.231-229 3.123E-12 7.145E-12 1.554E-05 4.603E-06 1.798E-06 1.816E-06 5.133E+16 1.080E+06 9.235E-01
   1.950E+06 6.269E+04 2.096E+18 2.012E+03 5.508E+01 8.345E+07 8.475-200 4.764E-12 1.274E-11 1.832E-05 4.798E-06 2.174E-06 2.062E-06 4.406E+16 1.278E+06 1.316E+00
   2.050E+06 5.381E+04 1.799E+18 2.730E+03 9.388E+01 1.010E+08 5.235-174 7.201E-12 2.256E-11 2.220E-05 5.040E-06 2.528E-06 2.313E-06 3.783E+16 1.537E+06 1.855E+00
   2.150E+06 4.621E+04 1.539E+18 3.632E+03 1.550E+02 1.210E+08 1.042-151 1.072E-11 3.928E-11 2.771E-05 5.340E-06 2.839E-06 2.564E-06 3.234E+16 1.871E+06 2.606E+00
   2.250E+06 3.972E+04 1.316E+18 4.731E+03 2.471E+02 1.436E+08 1.679-132 1.564E-11 6.674E-11 3.522E-05 5.712E-06 3.097E-06 2.813E-06 2.767E+16 2.302E+06 3.622E+00
   2.350E+06 3.416E+04 1.127E+18 6.037E+03 3.789E+02 1.684E+08 5.963-116 2.233E-11 1.100E-10 4.540E-05 6.173E-06 3.293E-06 3.057E-06 2.369E+16 2.855E+06 4.975E+00
   2.450E+06 2.940E+04 9.655E+17 7.542E+03 5.575E+02 1.951E+08 1.107-101 3.118E-11 1.753E-10 5.908E-05 6.744E-06 3.420E-06 3.295E-06 2.029E+16 3.560E+06 6.740E+00
   2.550E+06 2.532E+04 8.278E+17 9.217E+03 7.866E+02 2.226E+08 2.253E-89 4.255E-11 2.696E-10 7.740E-05 7.446E-06 3.475E-06 3.525E-06 1.740E+16 4.453E+06 8.990E+00
   2.650E+06 2.182E+04 7.103E+17 1.102E+04 1.065E+03 2.500E+08 9.480E-79 5.682E-11 4.001E-10 1.019E-04 8.306E-06 3.455E-06 3.749E-06 1.493E+16 5.582E+06 1.179E+01
   2.750E+06 1.882E+04 6.099E+17 1.288E+04 1.388E+03 2.761E+08 1.418E-69 7.431E-11 5.739E-10 1.346E-04 9.352E-06 3.362E-06 3.964E-06 1.282E+16 6.999E+06 1.520E+01
   2.850E+06 1.625E+04 5.241E+17 1.471E+04 1.742E+03 2.997E+08 1.199E-61 9.529E-11 7.972E-10 1.787E-04 1.062E-05 3.201E-06 4.169E-06 1.102E+16 8.764E+06 1.924E+01
   2.950E+06 1.403E+04 4.507E+17 1.648E+04 2.116E+03 3.205E+08 8.557E-55 1.200E-10 1.075E-09 2.392E-04 1.213E-05 2.972E-06 4.365E-06 9.473E+15 1.095E+07 2.398E+01
   3.050E+06 1.213E+04 3.878E+17 1.813E+04 2.492E+03 3.379E+08 7.266E-49 1.482E-10 1.413E-09 3.245E-04 1.394E-05 2.685E-06 4.548E-06 8.152E+15 1.361E+07 2.944E+01
   3.150E+06 1.049E+04 3.340E+17 1.951E+04 2.855E+03 3.504E+08 9.853E-44 1.798E-10 1.813E-09 4.453E-04 1.608E-05 2.356E-06 4.715E-06 7.019E+15 1.672E+07 3.553E+01
   3.250E+06 9.078E+03 2.878E+17 2.032E+04 3.194E+03 3.535E+08 2.746E-39 2.138E-10 2.281E-09 6.105E-04 1.855E-05 2.012E-06 4.865E-06 6.049E+15 1.995E+07 4.167E+01
   3.350E+06 7.866E+03 2.467E+17 1.999E+04 3.481E+03 3.379E+08 1.958E-35 2.489E-10 2.824E-09 8.198E-04 2.125E-05 1.671E-06 4.996E-06 5.185E+15 2.259E+07 4.671E+01
   3.450E+06 6.827E+03 2.116E+17 1.874E+04 3.727E+03 3.093E+08 4.112E-32 2.839E-10 3.451E-09 1.059E-03 2.405E-05 1.380E-06 5.106E-06 4.447E+15 2.427E+07 5.015E+01
   3.550E+06 5.935E+03 1.818E+17 1.691E+04 3.944E+03 2.739E+08 3.013E-29 3.180E-10 4.179E-09 1.312E-03 2.681E-05 1.148E-06 5.192E-06 3.820E+15 2.497E+07 5.196E+01
   3.650E+06 5.169E+03 1.565E+17 1.480E+04 4.138E+03 2.363E+08 8.979E-27 3.511E-10 5.033E-09 1.564E-03 2.943E-05 9.658E-07 5.254E-06 3.288E+15 2.487E+07 5.236E+01
   3.750E+06 4.502E+03 1.376E+17 1.331E+04 4.410E+03 2.113E+08 1.234E-24 3.837E-10 6.056E-09 1.806E-03 3.191E-05 8.503E-07 5.292E-06 2.892E+15 2.477E+07 5.301E+01
   3.850E+06 3.917E+03 1.207E+17 1.166E+04 4.685E+03 1.848E+08 9.478E-23 4.165E-10 7.308E-09 2.045E-03 3.429E-05 7.484E-07 5.311E-06 2.537E+15 2.426E+07 5.262E+01
   3.950E+06 3.403E+03 1.058E+17 9.958E+03 4.973E+03 1.581E+08 4.322E-21 4.495E-10 8.847E-09 2.275E-03 3.653E-05 6.567E-07 5.312E-06 2.224E+15 2.349E+07 5.116E+01
   4.050E+06 2.953E+03 9.300E+16 8.404E+03 5.299E+03 1.340E+08 1.240E-19 4.829E-10 1.075E-08 2.492E-03 3.862E-05 5.783E-07 5.300E-06 1.954E+15 2.268E+07 4.905E+01
   4.150E+06 2.558E+03 8.161E+16 6.932E+03 5.644E+03 1.113E+08 2.391E-18 5.170E-10 1.311E-08 2.694E-03 4.053E-05 5.063E-07 5.276E-06 1.715E+15 2.182E+07 4.615E+01
   4.250E+06 2.211E+03 7.150E+16 5.586E+03 6.002E+03 9.052E+07 3.234E-17 5.520E-10 1.601E-08 2.878E-03 4.224E-05 4.399E-07 5.243E-06 1.502E+15 2.099E+07 4.255E+01
   4.350E+06 1.908E+03 6.227E+16 4.341E+03 6.334E+03 7.104E+07 3.196E-16 5.881E-10 1.956E-08 3.039E-03 4.373E-05 3.755E-07 5.201E-06 1.308E+15 2.014E+07 3.818E+01
   4.450E+06 1.645E+03 5.416E+16 3.300E+03 6.650E+03 5.461E+07 2.371E-15 6.258E-10 2.383E-08 3.173E-03 4.498E-05 3.178E-07 5.152E-06 1.138E+15 1.942E+07 3.359E+01
   4.550E+06 1.416E+03 4.706E+16 2.459E+03 6.936E+03 4.121E+07 1.369E-14 6.656E-10 2.892E-08 3.281E-03 4.600E-05 2.669E-07 5.097E-06 9.887E+14 1.882E+07 2.904E+01
   4.650E+06 1.218E+03 4.083E+16 1.801E+03 7.185E+03 3.061E+07 6.336E-14 7.082E-10 3.494E-08 3.366E-03 4.681E-05 2.227E-07 5.036E-06 8.579E+14 1.837E+07 2.474E+01
   4.750E+06 1.045E+03 3.538E+16 1.299E+03 7.402E+03 2.242E+07 2.419E-13 7.543E-10 4.209E-08 3.431E-03 4.746E-05 1.846E-07 4.969E-06 7.434E+14 1.803E+07 2.081E+01
   4.850E+06 8.963E+02 3.062E+16 9.237E+02 7.617E+03 1.620E+07 7.801E-13 8.049E-10 5.080E-08 3.480E-03 4.796E-05 1.521E-07 4.897E-06 6.434E+14 1.782E+07 1.730E+01
   4.950E+06 7.674E+02 2.647E+16 6.469E+02 7.893E+03 1.155E+07 2.170E-12 8.606E-10 6.189E-08 3.515E-03 4.836E-05 1.242E-07 4.819E-06 5.561E+14 1.779E+07 1.420E+01
   5.050E+06 6.563E+02 2.275E+16 4.375E+02 8.277E+03 7.959E+06 5.309E-12 9.221E-10 7.685E-08 3.542E-03 4.866E-05 9.879E-08 4.735E-06 4.778E+14 1.793E+07 1.136E+01
   5.150E+06 5.609E+02 1.953E+16 2.909E+02 8.889E+03 5.395E+06 1.156E-11 9.898E-10 9.795E-08 3.560E-03 4.890E-05 7.758E-08 4.645E-06 4.103E+14 1.836E+07 8.951E+00
   5.250E+06 4.791E+02 1.676E+16 1.906E+02 9.789E+03 3.608E+06 2.279E-11 1.064E-09 1.283E-07 3.573E-03 4.908E-05 6.024E-08 4.551E-06 3.521E+14 1.910E+07 6.967E+00
   5.350E+06 4.089E+02 1.438E+16 1.239E+02 1.098E+04 2.391E+06 4.116E-11 1.146E-09 1.716E-07 3.581E-03 4.922E-05 4.645E-08 4.452E-06 3.020E+14 2.011E+07 5.388E+00
   5.450E+06 3.487E+02 1.232E+16 8.046E+01 1.240E+04 1.582E+06 6.895E-11 1.236E-09 2.316E-07 3.586E-03 4.934E-05 3.580E-08 4.346E-06 2.588E+14 2.129E+07 4.177E+00
   5.550E+06 2.972E+02 1.055E+16 5.269E+01 1.393E+04 1.052E+06 1.082E-10 1.334E-09 3.118E-07 3.590E-03 4.944E-05 2.777E-08 4.233E-06 2.216E+14 2.250E+07 3.274E+00
   5.650E+06 2.531E+02 9.029E+15 3.506E+01 1.540E+04 7.057E+05 1.604E-10 1.441E-09 4.148E-07 3.592E-03 4.952E-05 2.176E-08 4.113E-06 1.896E+14 2.362E+07 2.616E+00
   5.750E+06 2.153E+02 7.722E+15 2.385E+01 1.667E+04 4.790E+05 2.263E-10 1.559E-09 5.418E-07 3.593E-03 4.959E-05 1.726E-08 3.986E-06 1.622E+14 2.455E+07 2.144E+00
   5.850E+06 1.831E+02 6.599E+15 1.665E+01 1.760E+04 3.290E+05 3.060E-10 1.690E-09 6.927E-07 3.593E-03 4.965E-05 1.388E-08 3.851E-06 1.386E+14 2.523E+07 1.810E+00
   5.950E+06 1.556E+02 5.635E+15 1.196E+01 1.809E+04 2.287E+05 3.984E-10 1.835E-09 8.659E-07 3.592E-03 4.970E-05 1.130E-08 3.708E-06 1.183E+14 2.559E+07 1.578E+00
   6.050E+06 1.321E+02 4.786E+15 8.702E+00 1.802E+04 1.574E+05 5.019E-10 1.996E-09 1.058E-06 3.593E-03 4.975E-05 9.152E-09 3.557E-06 1.005E+14 2.556E+07 1.410E+00
   6.150E+06 1.122E+02 4.065E+15 6.530E+00 1.748E+04 1.096E+05 6.137E-10 2.179E-09 1.265E-06 3.594E-03 4.979E-05 7.498E-09 3.399E-06 8.534E+13 2.521E+07 1.303E+00
   6.250E+06 9.535E+01 3.453E+15 5.032E+00 1.655E+04 7.708E+04 7.312E-10 2.385E-09 1.482E-06 3.595E-03 4.983E-05 6.209E-09 3.235E-06 7.249E+13 2.456E+07 1.242E+00
   6.350E+06 8.100E+01 2.933E+15 3.961E+00 1.533E+04 5.477E+04 8.518E-10 2.622E-09 1.704E-06 3.596E-03 4.987E-05 5.192E-09 3.066E-06 6.158E+13 2.365E+07 1.215E+00
   6.450E+06 6.881E+01 2.492E+15 3.167E+00 1.391E+04 3.928E+04 9.734E-10 2.894E-09 1.929E-06 3.596E-03 4.990E-05 4.384E-09 2.894E-06 5.231E+13 2.250E+07 1.211E+00
   6.550E+06 5.846E+01 2.117E+15 2.558E+00 1.238E+04 2.844E+04 1.095E-09 3.209E-09 2.152E-06 3.596E-03 4.993E-05 3.735E-09 2.718E-06 4.443E+13 2.114E+07 1.226E+00
   6.650E+06 4.967E+01 1.799E+15 2.077E+00 1.084E+04 2.077E+04 1.214E-09 3.572E-09 2.373E-06 3.597E-03 4.995E-05 3.210E-09 2.541E-06 3.775E+13 1.959E+07 1.253E+00
   6.750E+06 4.220E+01 1.528E+15 1.688E+00 9.360E+03 1.517E+04 1.332E-09 3.989E-09 2.589E-06 3.597E-03 4.998E-05 2.760E-09 2.366E-06 3.207E+13 1.800E+07 1.287E+00
   6.850E+06 3.586E+01 1.299E+15 1.361E+00 7.975E+03 1.060E+04 1.449E-09 4.464E-09 2.799E-06 3.597E-03 5.000E-05 2.270E-09 2.194E-06 2.725E+13 1.735E+07 1.317E+00
   6.950E+06 3.047E+01 1.104E+15 1.098E+00 6.693E+03 7.317E+03 1.574E-09 5.003E-09 3.002E-06 3.598E-03 5.002E-05 1.843E-09 2.020E-06 2.315E+13 1.937E+07 1.358E+00
   7.050E+06 2.589E+01 9.378E+14 1.024E+00 5.448E+03 1.189E+04 1.725E-09 5.609E-09 3.196E-06 3.598E-03 5.004E-05 3.525E-09 1.818E-06 1.967E+13 1.093E+07 1.657E+00
   7.150E+06 2.201E+01 7.970E+14 1.293E+00 4.342E+03 3.450E+04 1.940E-09 6.286E-09 3.380E-06 3.598E-03 5.006E-05 1.203E-08 1.612E-06 1.671E+13 2.527E+06 2.776E+00
   7.250E+06 1.870E+01 6.774E+14 1.578E+00 3.429E+03 6.142E+04 2.281E-09 7.041E-09 3.554E-06 3.598E-03 5.008E-05 2.520E-08 1.425E-06 1.420E+13 9.326E+05 4.510E+00
   7.350E+06 1.590E+01 5.757E+14 1.736E+00 2.680E+03 8.400E+04 2.841E-09 7.881E-09 3.716E-06 3.598E-03 5.010E-05 4.055E-08 1.252E-06 1.206E+13 4.536E+05 6.638E+00
   7.450E+06 1.351E+01 4.893E+14 1.758E+00 2.075E+03 9.929E+04 3.737E-09 8.815E-09 3.869E-06 3.599E-03 5.012E-05 5.638E-08 1.096E-06 1.023E+13 2.547E+05 9.041E+00
   7.550E+06 1.148E+01 4.160E+14 1.682E+00 1.595E+03 1.070E+05 5.101E-09 9.854E-09 4.013E-06 3.599E-03 5.013E-05 7.147E-08 9.556E-07 8.680E+12 1.548E+05 1.167E+01
   7.650E+06 9.763E+00 3.536E+14 1.543E+00 1.218E+03 1.081E+05 7.075E-09 1.101E-08 4.149E-06 3.599E-03 5.015E-05 8.491E-08 8.302E-07 7.358E+12 9.849E+04 1.450E+01
   7.750E+06 8.299E+00 3.006E+14 1.376E+00 9.248E+02 1.039E+05 9.804E-09 1.229E-08 4.279E-06 3.600E-03 5.017E-05 9.603E-08 7.190E-07 6.232E+12 6.428E+04 1.755E+01
   7.850E+06 7.056E+00 2.555E+14 1.200E+00 6.987E+02 9.604E+04 1.345E-08 1.371E-08 4.404E-06 3.600E-03 5.018E-05 1.044E-07 6.208E-07 5.273E+12 4.257E+04 2.087E+01
   7.950E+06 5.995E+00 2.187E+14 1.057E+00 5.291E+02 8.956E+04 1.820E-08 1.528E-08 4.527E-06 3.596E-03 5.019E-05 1.139E-07 5.345E-07 4.486E+12 2.904E+04 2.488E+01
   8.050E+06 5.086E+00 1.880E+14 9.344E-01 4.014E+02 8.365E+04 2.430E-08 1.699E-08 4.648E-06 3.580E-03 5.021E-05 1.243E-07 4.595E-07 3.829E+12 2.018E+04 2.964E+01
   8.150E+06 4.308E+00 1.603E+14 8.000E-01 3.015E+02 7.278E+04 3.207E-08 1.884E-08 4.770E-06 3.563E-03 5.022E-05 1.274E-07 3.944E-07 3.237E+12 1.366E+04 3.460E+01
   8.250E+06 3.643E+00 1.374E+14 6.921E-01 2.273E+02 6.405E+04 4.178E-08 2.081E-08 4.894E-06 3.525E-03 5.023E-05 1.322E-07 3.380E-07 2.748E+12 9.383E+03 4.053E+01
   8.350E+06 3.075E+00 1.168E+14 5.850E-01 1.696E+02 5.265E+04 5.384E-08 2.289E-08 5.020E-06 3.507E-03 5.024E-05 1.286E-07 2.894E-07 2.308E+12 6.228E+03 4.700E+01
   8.450E+06 2.593E+00 9.938E+13 4.960E-01 1.266E+02 4.297E+04 6.853E-08 2.502E-08 5.149E-06 3.479E-03 5.025E-05 1.243E-07 2.475E-07 1.938E+12 4.131E+03 5.456E+01
   8.550E+06 2.182E+00 8.458E+13 4.204E-01 9.451E+01 3.449E+04 8.636E-08 2.719E-08 5.280E-06 3.445E-03 5.026E-05 1.184E-07 2.116E-07 1.624E+12 2.718E+03 6.331E+01
   8.650E+06 1.835E+00 7.113E+13 3.503E-01 6.964E+01 2.558E+04 1.080E-07 2.935E-08 5.415E-06 3.445E-03 5.027E-05 1.044E-07 1.808E-07 1.342E+12 1.711E+03 7.343E+01
   8.750E+06 1.543E+00 5.982E+13 2.924E-01 5.126E+01 1.864E+04 1.339E-07 3.148E-08 5.552E-06 3.445E-03 5.028E-05 9.043E-08 1.543E-07 1.106E+12 1.067E+03 8.539E+01
   8.850E+06 1.298E+00 5.031E+13 2.445E-01 3.770E+01 1.336E+04 1.650E-07 3.353E-08 5.691E-06 3.445E-03 5.028E-05 7.706E-08 1.317E-07 9.095E+11 6.603E+02 9.951E+01
   8.950E+06 1.092E+00 4.231E+13 2.050E-01 2.772E+01 9.418E+03 2.027E-07 3.550E-08 5.831E-06 3.445E-03 5.029E-05 6.460E-08 1.123E-07 7.456E+11 4.051E+02 1.162E+02
   9.050E+06 9.188E-01 3.540E+13 1.714E-01 2.027E+01 6.360E+03 2.486E-07 3.737E-08 5.971E-06 3.464E-03 5.030E-05 5.187E-08 9.590E-08 6.062E+11 2.430E+02 1.364E+02
   9.150E+06 7.744E-01 2.952E+13 1.432E-01 1.477E+01 4.152E+03 3.044E-07 3.911E-08 6.109E-06 3.496E-03 5.030E-05 4.023E-08 8.191E-08 4.897E+11 1.434E+02 1.605E+02
   9.250E+06 6.536E-01 2.479E+13 1.201E-01 1.084E+01 2.752E+03 3.711E-07 4.069E-08 6.243E-06 3.511E-03 5.030E-05 3.162E-08 7.008E-08 3.969E+11 8.558E+01 1.878E+02
   9.350E+06 5.523E-01 2.078E+13 1.004E-01 7.964E+00 1.784E+03 4.497E-07 4.213E-08 6.372E-06 3.533E-03 5.031E-05 2.430E-08 6.013E-08 3.201E+11 5.067E+01 2.187E+02
   9.450E+06 4.673E-01 1.745E+13 8.341E-02 5.875E+00 1.146E+03 5.396E-07 4.340E-08 6.495E-06 3.554E-03 5.031E-05 1.848E-08 5.183E-08 2.578E+11 3.001E+01 2.518E+02
   9.550E+06 3.959E-01 1.471E+13 6.898E-02 4.373E+00 7.387E+02 6.390E-07 4.452E-08 6.611E-06 3.568E-03 5.031E-05 1.408E-08 4.498E-08 2.077E+11 1.793E+01 2.852E+02
   9.650E+06 3.358E-01 1.238E+13 5.658E-02 3.277E+00 4.666E+02 7.454E-07 4.548E-08 6.719E-06 3.587E-03 5.032E-05 1.051E-08 3.940E-08 1.667E+11 1.071E+01 3.182E+02
   9.750E+06 2.851E-01 1.043E+13 4.623E-02 2.486E+00 2.919E+02 8.555E-07 4.630E-08 6.818E-06 3.596E-03 5.032E-05 7.783E-09 3.495E-08 1.337E+11 6.460E+00 3.485E+02
   9.850E+06 2.425E-01 8.783E+12 3.770E-02 1.912E+00 1.792E+02 9.658E-07 4.699E-08 6.907E-06 3.602E-03 5.032E-05 5.666E-09 3.152E-08 1.069E+11 3.950E+00 3.755E+02
   9.950E+06 2.066E-01 7.408E+12 3.092E-02 1.503E+00 1.105E+02 1.073E-06 4.757E-08 6.987E-06 3.606E-03 5.032E-05 4.136E-09 2.904E-08 8.545E+10 2.497E+00 3.976E+02
