
     Z         PRESS      DEN     ProOH1    ProOH25    ProO3D    PO2D       PO2      PH2O      PO3D      PH2O2     FO3      FH2O      NumO2      NumOH      NumO1D
   5.000E+04 9.559E+05 2.428E+19 2.936E+05 7.934E+02 2.416E+06 0.000E+00 8.404E-15 2.900E-15 8.156E-06 2.319E-06 1.220E-08 1.127E-02 5.099E+17 7.235E+05 3.260E-03
   1.500E+05 8.495E+05 2.208E+19 2.236E+05 6.710E+02 2.842E+06 0.000E+00 1.245E-14 4.351E-15 8.740E-06 2.510E-06 1.472E-08 6.984E-03 4.639E+17 7.617E+05 4.383E-03
   2.500E+05 7.529E+05 2.004E+19 1.634E+05 5.278E+02 3.392E+06 0.000E+00 1.792E-14 6.342E-15 9.170E-06 2.681E-06 1.846E-08 4.153E-03 4.210E+17 7.963E+05 5.901E-03
   3.500E+05 6.654E+05 1.814E+19 1.058E+05 3.707E+02 3.963E+06 0.000E+00 2.513E-14 9.039E-15 9.388E-06 2.835E-06 2.327E-08 2.261E-03 3.812E+17 7.962E+05 7.711E-03
   4.500E+05 5.865E+05 1.627E+19 7.638E+04 2.925E+02 4.533E+06 0.000E+00 3.450E-14 1.270E-14 9.614E-06 2.975E-06 2.899E-08 1.416E-03 3.419E+17 8.285E+05 9.869E-03
   5.500E+05 5.158E+05 1.461E+19 4.698E+04 2.031E+02 5.027E+06 0.000E+00 4.644E-14 1.777E-14 9.672E-06 3.101E-06 3.557E-08 7.822E-04 3.072E+17 8.075E+05 1.217E-02
   6.500E+05 4.522E+05 1.314E+19 2.409E+04 1.235E+02 5.399E+06 0.000E+00 6.174E-14 2.516E-14 9.571E-06 3.217E-06 4.292E-08 3.733E-04 2.763E+17 7.267E+05 1.444E-02
   7.500E+05 3.951E+05 1.179E+19 1.116E+04 7.161E+01 5.649E+06 0.000E+00 8.162E-14 3.666E-14 9.382E-06 3.325E-06 5.107E-08 1.657E-04 2.479E+17 6.290E+05 1.668E-02
   8.500E+05 3.440E+05 1.055E+19 4.569E+03 3.892E+01 5.784E+06 0.000E+00 1.079E-13 5.550E-14 9.122E-06 3.425E-06 6.011E-08 6.649E-05 2.218E+17 5.552E+05 1.888E-02
   9.500E+05 2.979E+05 9.589E+18 8.621E+02 1.080E+01 5.670E+06 0.000E+00 1.434E-13 8.725E-14 8.379E-06 3.521E-06 7.057E-08 1.291E-05 2.017E+17 5.179E+05 1.991E-02
   1.050E+06 2.557E+05 8.821E+18 5.803E+01 1.138E+00 5.509E+06 0.000E+00 1.933E-13 1.423E-13 7.231E-06 3.614E-06 8.636E-08 9.066E-07 1.855E+17 5.412E+05 2.032E-02
   1.150E+06 2.184E+05 7.533E+18 7.150E+01 1.660E+00 6.705E+06 0.000E+00 2.667E-13 2.401E-13 7.438E-06 3.705E-06 1.197E-07 9.177E-07 1.584E+17 5.349E+05 2.897E-02
   1.250E+06 1.865E+05 6.433E+18 1.046E+02 2.438E+00 9.541E+06 0.000E+00 3.701E-13 4.018E-13 7.657E-06 3.792E-06 1.937E-07 9.432E-07 1.353E+17 5.132E+05 4.826E-02
   1.350E+06 1.593E+05 5.494E+18 1.703E+02 3.655E+00 1.472E+07 0.000E+00 5.194E-13 6.680E-13 7.928E-06 3.880E-06 3.379E-07 9.959E-07 1.155E+17 5.150E+05 8.718E-02
   1.450E+06 1.360E+05 4.692E+18 2.788E+02 5.673E+00 2.209E+07 0.000E+00 7.416E-13 1.113E-12 8.312E-06 3.972E-06 5.665E-07 1.086E-06 9.867E+16 5.755E+05 1.532E-01
   1.550E+06 1.162E+05 4.008E+18 4.358E+02 9.141E+00 3.084E+07 0.000E+00 1.080E-12 1.876E-12 8.891E-06 4.074E-06 8.656E-07 1.216E-06 8.428E+16 6.744E+05 2.504E-01
   1.650E+06 9.939E+04 3.364E+18 6.755E+02 1.497E+01 4.176E+07 7.576-306 1.600E-12 3.208E-12 1.019E-05 4.190E-06 1.218E-06 1.387E-06 7.074E+16 7.825E+05 4.079E-01
   1.750E+06 8.515E+04 2.882E+18 9.861E+02 2.529E+01 5.312E+07 3.310-265 2.382E-12 5.513E-12 1.150E-05 4.327E-06 1.602E-06 1.592E-06 6.060E+16 9.122E+05 6.055E-01
   1.850E+06 7.302E+04 2.442E+18 1.420E+03 4.259E+01 6.662E+07 3.659-230 3.566E-12 9.569E-12 1.370E-05 4.491E-06 1.991E-06 1.823E-06 5.133E+16 1.063E+06 9.022E-01
   1.950E+06 6.269E+04 2.096E+18 1.976E+03 7.187E+01 8.159E+07 2.881-200 5.308E-12 1.655E-11 1.638E-05 4.689E-06 2.376E-06 2.072E-06 4.406E+16 1.264E+06 1.287E+00
   2.050E+06 5.381E+04 1.799E+18 2.688E+03 1.192E+02 9.887E+07 2.005-174 7.856E-12 2.850E-11 2.011E-05 4.934E-06 2.733E-06 2.325E-06 3.783E+16 1.525E+06 1.817E+00
   2.150E+06 4.621E+04 1.539E+18 3.587E+03 1.922E+02 1.188E+08 4.441-152 1.150E-11 4.844E-11 2.538E-05 5.237E-06 3.043E-06 2.580E-06 3.234E+16 1.856E+06 2.559E+00
   2.250E+06 3.972E+04 1.316E+18 4.689E+03 3.000E+02 1.414E+08 7.872-133 1.656E-11 8.050E-11 3.257E-05 5.610E-06 3.298E-06 2.832E-06 2.767E+16 2.282E+06 3.567E+00
   2.350E+06 3.416E+04 1.127E+18 6.007E+03 4.515E+02 1.664E+08 3.042-116 2.341E-11 1.301E-10 4.232E-05 6.072E-06 3.490E-06 3.079E-06 2.369E+16 2.826E+06 4.916E+00
   2.450E+06 2.940E+04 9.655E+17 7.540E+03 6.539E+02 1.936E+08 6.090-102 3.245E-11 2.040E-10 5.547E-05 6.643E-06 3.615E-06 3.319E-06 2.029E+16 3.520E+06 6.688E+00
   2.550E+06 2.532E+04 8.278E+17 9.264E+03 9.112E+02 2.220E+08 1.326E-89 4.408E-11 3.098E-10 7.314E-05 7.346E-06 3.666E-06 3.553E-06 1.740E+16 4.403E+06 8.964E+00
   2.650E+06 2.182E+04 7.103E+17 1.114E+04 1.223E+03 2.506E+08 5.927E-79 5.868E-11 4.554E-10 9.688E-05 8.209E-06 3.642E-06 3.781E-06 1.493E+16 5.526E+06 1.182E+01
   2.750E+06 1.882E+04 6.099E+17 1.309E+04 1.583E+03 2.782E+08 9.355E-70 7.662E-11 6.488E-10 1.288E-04 9.262E-06 3.542E-06 4.000E-06 1.282E+16 6.945E+06 1.532E+01
   2.850E+06 1.625E+04 5.241E+17 1.504E+04 1.979E+03 3.036E+08 8.303E-62 9.822E-11 8.972E-10 1.719E-04 1.054E-05 3.369E-06 4.208E-06 1.102E+16 8.729E+06 1.949E+01
   2.950E+06 1.403E+04 4.507E+17 1.694E+04 2.397E+03 3.260E+08 6.188E-55 1.237E-10 1.207E-09 2.315E-04 1.208E-05 3.125E-06 4.408E-06 9.473E+15 1.095E+07 2.439E+01
   3.050E+06 1.213E+04 3.878E+17 1.870E+04 2.819E+03 3.450E+08 5.462E-49 1.531E-10 1.581E-09 3.158E-04 1.393E-05 2.817E-06 4.595E-06 8.151E+15 1.369E+07 3.006E+01
   3.150E+06 1.049E+04 3.340E+17 2.020E+04 3.226E+03 3.590E+08 7.667E-44 1.860E-10 2.027E-09 4.364E-04 1.612E-05 2.463E-06 4.766E-06 7.019E+15 1.690E+07 3.640E+01
   3.250E+06 9.078E+03 2.878E+17 2.110E+04 3.608E+03 3.630E+08 2.204E-39 2.213E-10 2.548E-09 6.031E-04 1.866E-05 2.091E-06 4.920E-06 6.049E+15 2.027E+07 4.280E+01
   3.350E+06 7.866E+03 2.467E+17 2.078E+04 3.937E+03 3.472E+08 1.616E-35 2.578E-10 3.157E-09 8.163E-04 2.144E-05 1.724E-06 5.054E-06 5.185E+15 2.305E+07 4.800E+01
   3.450E+06 6.827E+03 2.116E+17 1.946E+04 4.229E+03 3.174E+08 3.476E-32 2.938E-10 3.869E-09 1.061E-03 2.432E-05 1.413E-06 5.167E-06 4.447E+15 2.484E+07 5.145E+01
   3.550E+06 5.935E+03 1.818E+17 1.751E+04 4.498E+03 2.802E+08 2.603E-29 3.287E-10 4.708E-09 1.320E-03 2.715E-05 1.167E-06 5.255E-06 3.820E+15 2.559E+07 5.315E+01
   3.650E+06 5.169E+03 1.565E+17 1.526E+04 4.753E+03 2.407E+08 7.902E-27 3.623E-10 5.711E-09 1.578E-03 2.981E-05 9.751E-07 5.319E-06 3.288E+15 2.551E+07 5.334E+01
   3.750E+06 4.502E+03 1.376E+17 1.366E+04 5.102E+03 2.143E+08 1.104E-24 3.948E-10 6.919E-09 1.825E-03 3.232E-05 8.531E-07 5.359E-06 2.892E+15 2.543E+07 5.374E+01
   3.850E+06 3.917E+03 1.207E+17 1.190E+04 5.464E+03 1.863E+08 8.604E-23 4.274E-10 8.415E-09 2.068E-03 3.470E-05 7.463E-07 5.378E-06 2.537E+15 2.495E+07 5.306E+01
   3.950E+06 3.403E+03 1.058E+17 1.011E+04 5.845E+03 1.584E+08 3.974E-21 4.601E-10 1.027E-08 2.301E-03 3.692E-05 6.507E-07 5.381E-06 2.223E+15 2.421E+07 5.127E+01
   4.050E+06 2.953E+03 9.300E+16 8.474E+03 6.269E+03 1.334E+08 1.154E-19 4.930E-10 1.256E-08 2.519E-03 3.897E-05 5.694E-07 5.369E-06 1.954E+15 2.345E+07 4.883E+01
   4.150E+06 2.558E+03 8.161E+16 6.939E+03 6.707E+03 1.100E+08 2.246E-18 5.264E-10 1.537E-08 2.722E-03 4.083E-05 4.952E-07 5.345E-06 1.715E+15 2.265E+07 4.560E+01
   4.250E+06 2.211E+03 7.150E+16 5.548E+03 7.145E+03 8.875E+07 3.064E-17 5.608E-10 1.882E-08 2.904E-03 4.247E-05 4.275E-07 5.311E-06 1.502E+15 2.188E+07 4.172E+01
   4.350E+06 1.908E+03 6.227E+16 4.279E+03 7.536E+03 6.911E+07 3.051E-16 5.964E-10 2.297E-08 3.061E-03 4.387E-05 3.625E-07 5.270E-06 1.308E+15 2.110E+07 3.714E+01
   4.450E+06 1.645E+03 5.416E+16 3.230E+03 7.885E+03 5.275E+07 2.279E-15 6.335E-10 2.789E-08 3.192E-03 4.503E-05 3.051E-07 5.221E-06 1.138E+15 2.044E+07 3.244E+01
   4.550E+06 1.416E+03 4.706E+16 2.393E+03 8.175E+03 3.957E+07 1.323E-14 6.729E-10 3.364E-08 3.296E-03 4.596E-05 2.552E-07 5.165E-06 9.887E+14 1.989E+07 2.789E+01
   4.650E+06 1.218E+03 4.083E+16 1.746E+03 8.397E+03 2.927E+07 6.155E-14 7.151E-10 4.030E-08 3.377E-03 4.669E-05 2.123E-07 5.103E-06 8.579E+14 1.945E+07 2.367E+01
   4.750E+06 1.045E+03 3.538E+16 1.257E+03 8.559E+03 2.140E+07 2.360E-13 7.610E-10 4.804E-08 3.438E-03 4.726E-05 1.759E-07 5.035E-06 7.434E+14 1.909E+07 1.987E+01
   4.850E+06 8.963E+02 3.062E+16 8.939E+02 8.697E+03 1.547E+07 7.638E-13 8.112E-10 5.723E-08 3.483E-03 4.770E-05 1.451E-07 4.962E-06 6.434E+14 1.884E+07 1.652E+01
   4.950E+06 7.674E+02 2.647E+16 6.276E+02 8.878E+03 1.106E+07 2.132E-12 8.667E-10 6.869E-08 3.517E-03 4.804E-05 1.188E-07 4.883E-06 5.561E+14 1.873E+07 1.360E+01
   5.050E+06 6.563E+02 2.275E+16 4.264E+02 9.155E+03 7.654E+06 5.228E-12 9.280E-10 8.389E-08 3.541E-03 4.830E-05 9.503E-08 4.798E-06 4.778E+14 1.877E+07 1.093E+01
   5.150E+06 5.609E+02 1.953E+16 2.852E+02 9.661E+03 5.220E+06 1.142E-11 9.955E-10 1.051E-07 3.558E-03 4.849E-05 7.510E-08 4.707E-06 4.103E+14 1.909E+07 8.661E+00
   5.250E+06 4.791E+02 1.676E+16 1.881E+02 1.046E+04 3.513E+06 2.254E-11 1.070E-09 1.353E-07 3.570E-03 4.864E-05 5.870E-08 4.612E-06 3.521E+14 1.972E+07 6.784E+00
   5.350E+06 4.089E+02 1.438E+16 1.230E+02 1.157E+04 2.342E+06 4.078E-11 1.151E-09 1.783E-07 3.577E-03 4.876E-05 4.553E-08 4.511E-06 3.020E+14 2.062E+07 5.278E+00
   5.450E+06 3.487E+02 1.232E+16 8.024E+01 1.291E+04 1.557E+06 6.841E-11 1.241E-09 2.380E-07 3.582E-03 4.885E-05 3.527E-08 4.404E-06 2.588E+14 2.171E+07 4.110E+00
   5.550E+06 2.972E+02 1.055E+16 5.272E+01 1.438E+04 1.038E+06 1.075E-10 1.339E-09 3.177E-07 3.585E-03 4.892E-05 2.745E-08 4.290E-06 2.216E+14 2.285E+07 3.233E+00
   5.650E+06 2.531E+02 9.029E+15 3.516E+01 1.581E+04 6.982E+05 1.595E-10 1.446E-09 4.201E-07 3.587E-03 4.899E-05 2.156E-08 4.168E-06 1.896E+14 2.392E+07 2.589E+00
   5.750E+06 2.153E+02 7.722E+15 2.395E+01 1.704E+04 4.745E+05 2.253E-10 1.563E-09 5.464E-07 3.588E-03 4.904E-05 1.713E-08 4.039E-06 1.622E+14 2.482E+07 2.125E+00
   5.850E+06 1.831E+02 6.599E+15 1.674E+01 1.794E+04 3.262E+05 3.048E-10 1.693E-09 6.967E-07 3.587E-03 4.909E-05 1.378E-08 3.903E-06 1.386E+14 2.547E+07 1.795E+00
   5.950E+06 1.556E+02 5.635E+15 1.203E+01 1.841E+04 2.268E+05 3.971E-10 1.837E-09 8.693E-07 3.586E-03 4.913E-05 1.122E-08 3.758E-06 1.183E+14 2.582E+07 1.567E+00
   6.050E+06 1.321E+02 4.786E+15 8.763E+00 1.831E+04 1.561E+05 5.005E-10 1.998E-09 1.061E-06 3.587E-03 4.917E-05 9.095E-09 3.605E-06 1.005E+14 2.577E+07 1.401E+00
   6.150E+06 1.122E+02 4.065E+15 6.581E+00 1.776E+04 1.087E+05 6.123E-10 2.180E-09 1.268E-06 3.588E-03 4.920E-05 7.452E-09 3.446E-06 8.534E+13 2.541E+07 1.296E+00
   6.250E+06 9.535E+01 3.453E+15 5.075E+00 1.681E+04 7.647E+04 7.298E-10 2.386E-09 1.484E-06 3.589E-03 4.923E-05 6.171E-09 3.280E-06 7.249E+13 2.476E+07 1.236E+00
   6.350E+06 8.100E+01 2.933E+15 3.998E+00 1.556E+04 5.433E+04 8.504E-10 2.622E-09 1.706E-06 3.589E-03 4.926E-05 5.160E-09 3.109E-06 6.158E+13 2.384E+07 1.209E+00
