
     Z         PRESS      DEN     ProOH1    ProOH25    ProO3D    PO2D       PO2      PH2O      PO3D      PH2O2     FO3      FH2O      NumO2      NumOH      NumO1D
   5.000E+04 9.550E+05 2.401E+19 3.362E+05 6.662E-10 2.535E+06 0.000E+00 4.019E-26 2.024E-27 6.506E-06 2.220E-06 1.623E-08 1.371E-02 5.041E+18 1.209E+06 3.112E-03
   1.500E+05 8.471E+05 2.179E+19 2.531E+05 8.889E-09 2.905E+06 0.000E+00 6.624E-25 4.756E-26 6.948E-06 2.398E-06 1.919E-08 8.579E-03 4.575E+18 1.272E+06 4.104E-03
   2.500E+05 7.494E+05 1.973E+19 1.826E+05 9.428E-08 3.345E+06 0.000E+00 9.321E-24 9.183E-25 7.278E-06 2.558E-06 2.329E-08 5.204E-03 4.143E+18 1.334E+06 5.359E-03
   3.500E+05 6.610E+05 1.782E+19 1.175E+05 7.453E-07 3.755E+06 0.000E+00 1.115E-22 1.432E-23 7.455E-06 2.703E-06 2.826E-08 2.920E-03 3.743E+18 1.356E+06 6.765E-03
   4.500E+05 5.812E+05 1.606E+19 6.797E+04 4.442E-06 4.065E+06 0.000E+00 1.126E-21 1.794E-22 7.502E-06 2.833E-06 3.374E-08 1.542E-03 3.373E+18 1.357E+06 8.176E-03
   5.500E+05 5.095E+05 1.443E+19 3.581E+04 2.025E-05 4.234E+06 0.000E+00 9.572E-21 1.808E-21 7.454E-06 2.952E-06 3.935E-08 7.761E-04 3.031E+18 1.321E+06 9.464E-03
   6.500E+05 4.451E+05 1.294E+19 1.709E+04 7.040E-05 4.254E+06 0.000E+00 6.844E-20 1.478E-20 7.330E-06 3.061E-06 4.486E-08 3.681E-04 2.717E+18 1.203E+06 1.055E-02
   7.500E+05 3.875E+05 1.157E+19 7.302E+03 1.854E-04 4.144E+06 0.000E+00 4.127E-19 9.911E-20 7.131E-06 3.161E-06 5.024E-08 1.617E-04 2.429E+18 1.021E+06 1.140E-02
   8.500E+05 3.361E+05 1.031E+19 2.729E+03 3.624E-04 3.940E+06 0.000E+00 2.111E-18 5.517E-19 6.869E-06 3.254E-06 5.566E-08 6.373E-05 2.165E+18 8.844E+05 1.204E-02
   9.500E+05 2.904E+05 9.156E+18 8.369E+02 4.944E-04 3.696E+06 0.000E+00 9.229E-18 2.582E-18 6.564E-06 3.341E-06 6.150E-08 2.091E-05 1.923E+18 8.207E+05 1.257E-02
