 Gaussian points = 8
 FIXED SPECIES MIXING RATIOS:
    O2 =   2.100000000000000E-004  CO2 =   4.000000000000000E-004
 
    CH4 =   1.600000000000000E-006
 Standard CH3CL flux =  0.000E+00

 PO2= 7.853E-04  PNO= 2.886E-03  ZAPNO= 3.050E+02
 N= 3     X= 1.25802E-01  ERR= 2.35764E-06

 TIME = 0.0000E+00     TIMEY =   0.0000E+00 YEARS

 NPHOT =  0

 MIXING RATIOS OF LONG-LIVED SPECIES


     Z        H2CO     O        H2O      OH       HO2      H2O2     O3       H        H2       CH4      CO       CH3OOH  
  5.00E+04 6.17E-10 2.02E-14 1.13E-02 2.22E-12 3.48E-10 9.39E-08 4.88E-09 3.10E-15 5.50E-07 1.60E-06 9.00E-08 1.70E-08
  1.50E+05 5.77E-10 3.39E-14 6.98E-03 2.28E-12 2.97E-10 7.16E-08 7.03E-09 2.45E-15 5.22E-07 1.50E-06 5.01E-08 1.41E-08
  2.50E+05 5.04E-10 5.87E-14 4.15E-03 2.37E-12 2.49E-10 5.10E-08 1.05E-08 1.92E-15 5.01E-07 1.41E-06 3.40E-08 1.07E-08
  3.50E+05 4.27E-10 1.00E-13 2.26E-03 2.38E-12 2.01E-10 3.46E-08 1.54E-08 1.41E-15 4.86E-07 1.35E-06 2.64E-08 7.64E-09
  7.50E+05 1.99E-10 8.13E-13 1.66E-04 2.94E-12 8.13E-11 5.30E-09 6.11E-08 4.79E-16 4.56E-07 1.22E-06 1.50E-08 1.35E-09
  1.15E+06 5.39E-11 4.91E-12 9.94E-07 1.88E-12 5.23E-12 5.06E-11 1.48E-07 6.87E-17 4.43E-07 1.15E-06 1.45E-08 6.83E-12
  1.55E+06 4.04E-11 2.07E-11 2.14E-06 1.36E-11 1.80E-11 7.60E-11 5.48E-08 9.48E-16 3.21E-07 6.34E-07 9.35E-09 1.14E-11
  1.95E+06 1.15E-11 2.80E-11 3.30E-06 4.12E-11 4.28E-11 1.39E-10 1.28E-08 6.92E-15 1.52E-07 1.39E-07 7.35E-09 6.82E-12
  2.35E+06 2.56E-12 4.96E-11 3.57E-06 8.51E-11 7.24E-11 1.80E-10 5.44E-09 4.08E-14 1.04E-07 2.66E-08 8.65E-09 1.61E-12
  2.75E+06 7.20E-13 9.63E-11 3.56E-06 1.53E-10 1.12E-10 2.18E-10 2.78E-09 2.19E-13 1.47E-07 7.72E-09 1.18E-08 4.06E-13
  3.15E+06 2.84E-13 1.72E-10 3.43E-06 2.52E-10 1.69E-10 2.68E-10 1.37E-09 1.05E-12 2.80E-07 3.41E-09 1.71E-08 1.43E-13
  3.55E+06 1.40E-13 3.10E-10 3.17E-06 3.89E-10 2.43E-10 3.17E-10 6.94E-10 4.74E-12 5.39E-07 1.88E-09 2.52E-08 6.22E-14
  3.95E+06 1.18E-13 5.90E-10 2.76E-06 5.94E-10 3.47E-10 3.76E-10 3.74E-10 2.20E-11 9.44E-07 1.01E-09 4.20E-08 2.69E-14
  4.35E+06 2.51E-13 1.12E-09 2.19E-06 1.05E-09 5.72E-10 5.51E-10 2.00E-10 1.29E-10 1.51E-06 3.96E-10 1.02E-07 8.53E-15
  4.75E+06 2.17E-13 2.66E-09 1.48E-06 1.89E-09 8.32E-10 6.32E-10 1.31E-10 8.43E-10 2.21E-06 1.03E-10 2.88E-07 1.67E-15
  5.15E+06 1.20E-13 9.21E-09 7.38E-07 2.26E-09 8.54E-10 4.43E-10 1.12E-10 5.34E-09 2.94E-06 2.19E-11 1.43E-06 2.51E-16
  5.55E+06 7.95E-14 6.49E-08 2.54E-07 1.18E-09 4.45E-10 1.03E-10 1.66E-10 3.01E-08 3.40E-06 4.97E-12 7.32E-06 1.97E-17
  5.95E+06 1.12E-14 5.28E-06 7.13E-08 8.05E-11 2.67E-11 2.10E-12 1.97E-09 1.87E-07 3.51E-06 1.35E-12 1.85E-05 3.99E-19
