 Gaussian points = 8
 FIXED SPECIES MIXING RATIOS:
    O2 =   2.100000000000000E-003  CO2 =   4.000000000000000E-004
 
    CH4 =   1.600000000000000E-006
 Standard CH3CL flux =  0.000E+00

 PO2= 1.273E-03  PNO= 3.670E-03  ZAPNO= 3.879E+02
 N= 4     X= 1.56517E-01  ERR= 4.16820E-06

 TIME = 0.0000E+00     TIMEY =   0.0000E+00 YEARS

 NPHOT =  0

 MIXING RATIOS OF LONG-LIVED SPECIES


     Z        H2CO     O        H2O      OH       HO2      H2O2     O3       H        H2       CH4      CO       CH3OOH  
  5.00E+04 9.82E-11 1.46E-15 1.13E-02 6.22E-14 1.13E-11 1.08E-09 5.25E-09 5.60E-19 5.50E-07 1.60E-06 9.00E-08 1.02E-09
  1.50E+05 1.06E-10 2.46E-15 6.98E-03 7.95E-14 1.17E-11 1.14E-09 7.49E-09 6.54E-19 3.05E-07 1.05E-06 5.61E-08 1.09E-09
  2.50E+05 1.12E-10 4.51E-15 4.15E-03 1.02E-13 1.20E-11 1.15E-09 1.17E-08 7.68E-19 3.06E-07 1.05E-06 4.95E-08 1.14E-09
  3.50E+05 1.10E-10 8.21E-15 2.26E-03 1.20E-13 1.18E-11 1.09E-09 1.81E-08 8.41E-19 3.06E-07 1.04E-06 4.40E-08 1.10E-09
  7.50E+05 6.38E-11 6.42E-14 1.66E-04 1.67E-13 9.01E-12 5.36E-10 7.04E-08 1.01E-18 3.07E-07 1.03E-06 3.05E-08 5.44E-10
  1.15E+06 1.65E-11 3.26E-13 9.38E-07 1.46E-13 3.76E-12 1.19E-10 1.99E-07 7.24E-19 3.08E-07 1.03E-06 2.36E-08 8.41E-11
  1.55E+06 1.91E-11 5.32E-12 1.15E-06 5.28E-13 5.87E-12 6.86E-11 7.96E-07 2.66E-18 3.09E-07 9.16E-07 1.11E-08 7.86E-11
  1.95E+06 2.50E-11 2.81E-11 1.70E-06 2.98E-12 1.41E-11 9.40E-11 7.61E-07 3.73E-17 3.02E-07 6.47E-07 1.03E-08 5.84E-11
  2.35E+06 2.22E-11 1.13E-10 2.20E-06 1.49E-11 2.01E-11 4.76E-11 3.45E-07 6.91E-16 2.96E-07 3.99E-07 8.99E-09 1.86E-11
  2.75E+06 1.67E-11 3.59E-10 2.47E-06 4.15E-11 2.81E-11 3.60E-11 1.56E-07 9.24E-15 3.18E-07 2.49E-07 1.00E-08 7.73E-12
  3.15E+06 1.20E-11 8.56E-10 2.57E-06 8.76E-11 4.87E-11 4.62E-11 7.67E-08 8.21E-14 3.87E-07 1.63E-07 1.36E-08 4.78E-12
  3.55E+06 8.05E-12 1.53E-09 2.54E-06 1.71E-10 9.03E-11 7.30E-11 3.45E-08 5.31E-13 5.19E-07 1.10E-07 1.97E-08 3.07E-12
  3.95E+06 6.08E-12 2.36E-09 2.41E-06 3.15E-10 1.65E-10 1.22E-10 1.46E-08 2.88E-12 7.20E-07 7.15E-08 3.17E-08 1.75E-12
  4.35E+06 1.32E-11 3.18E-09 2.19E-06 6.45E-10 3.45E-10 2.61E-10 5.58E-09 1.59E-11 9.97E-07 3.85E-08 6.98E-08 8.00E-13
  4.75E+06 2.05E-11 4.54E-09 1.88E-06 1.35E-09 7.35E-10 5.87E-10 2.27E-09 9.67E-11 1.35E-06 1.53E-08 1.76E-07 2.86E-13
  5.15E+06 1.58E-11 8.10E-09 1.45E-06 2.35E-09 1.23E-09 9.02E-10 1.14E-09 5.58E-10 1.78E-06 4.71E-09 4.23E-07 7.74E-14
  5.55E+06 9.16E-12 1.77E-08 9.83E-07 3.35E-09 1.56E-09 8.66E-10 6.85E-10 2.92E-09 2.25E-06 1.36E-09 1.09E-06 1.73E-14
  5.95E+06 5.49E-12 5.68E-08 5.54E-07 3.61E-09 1.41E-09 4.64E-10 5.58E-10 1.59E-08 2.66E-06 4.21E-10 2.99E-06 2.89E-15
  6.35E+06 2.47E-12 3.44E-06 2.50E-07 5.47E-10 2.06E-10 4.99E-11 4.67E-09 2.07E-07 2.87E-06 1.52E-10 6.79E-06 1.54E-16
  6.75E+06 1.68E-13 7.45E-05 1.02E-07 8.33E-11 1.23E-11 1.31E-12 2.49E-08 4.78E-07 2.88E-06 6.53E-11 1.09E-05 7.09E-18
  7.15E+06 4.82E-14 2.64E-04 4.75E-08 3.03E-11 2.24E-12 4.96E-14 3.12E-08 5.96E-07 2.87E-06 3.32E-11 1.49E-05 5.66E-19
  7.55E+06 2.34E-14 5.87E-04 2.37E-08 1.10E-11 5.48E-13 2.43E-15 2.41E-08 6.54E-07 2.86E-06 1.85E-11 1.93E-05 6.20E-20
  7.95E+06 1.34E-14 1.09E-03 1.14E-08 3.52E-12 1.46E-13 1.18E-16 1.38E-08 6.88E-07 2.85E-06 1.03E-11 2.54E-05 6.98E-21
  8.35E+06 8.83E-15 1.72E-03 5.31E-09 9.92E-13 4.12E-14 6.16E-18 5.94E-09 7.09E-07 2.84E-06 5.71E-12 3.33E-05 8.16E-22
  8.75E+06 6.64E-15 2.39E-03 2.46E-09 2.54E-13 1.22E-14 3.65E-19 2.00E-09 7.20E-07 2.83E-06 3.21E-12 4.25E-05 1.01E-22
  9.15E+06 5.56E-15 3.03E-03 1.17E-09 6.59E-14 3.76E-15 2.54E-20 5.62E-10 7.24E-07 2.81E-06 1.86E-12 5.18E-05 1.33E-23
  9.55E+06 5.14E-15 3.64E-03 5.92E-10 2.20E-14 1.17E-15 2.14E-21 1.42E-10 7.22E-07 2.77E-06 1.15E-12 6.04E-05 1.93E-24
  9.95E+06 5.43E-15 4.34E-03 3.72E-10 1.23E-14 3.49E-16 3.20E-22 3.39E-11 7.14E-07 2.71E-06 8.19E-13 6.75E-05 4.24E-25
     Z        H2CO     O        H2O      OH       HO2      H2O2     O3       H        H2       CH4      CO       CH3OOH  

     Z        CH3O2    N2O      NO       NO2      HNO2     HNO3     HO2NO2   NO3      N2O5     CL2O2    CH3CL    HOCL    
  5.00E+04 7.56E-12 3.00E-07 4.55E-13 8.80E-13 3.15E-15 6.49E-12 2.02E-14 2.45E-16 1.59E-19 1.49E-22 5.00E-10 1.33E-13
  1.50E+05 8.32E-12 9.08E-09 5.22E-13 1.00E-12 4.14E-15 9.92E-12 5.27E-14 3.66E-16 4.39E-19 5.63E-22 3.51E-10 1.85E-13
  2.50E+05 9.14E-12 9.03E-09 5.82E-13 1.15E-12 5.28E-15 1.43E-11 1.43E-13 5.89E-16 1.37E-18 3.13E-21 3.41E-10 3.02E-13
  3.50E+05 9.33E-12 8.98E-09 6.73E-13 1.36E-12 6.41E-15 1.86E-11 3.94E-13 9.14E-16 4.61E-18 2.01E-20 3.31E-10 5.06E-13
  7.50E+05 6.49E-12 8.73E-09 1.01E-12 1.91E-12 7.86E-15 2.40E-11 6.87E-12 2.65E-15 2.42E-16 1.61E-17 3.03E-10 2.36E-12
  1.15E+06 1.45E-12 8.22E-09 3.29E-12 3.79E-12 1.36E-14 1.83E-11 8.69E-12 8.01E-15 7.74E-15 6.25E-15 2.91E-10 2.87E-12
  1.55E+06 3.49E-12 4.42E-09 3.23E-12 7.50E-12 1.72E-14 2.10E-11 5.48E-12 5.67E-14 3.86E-14 3.04E-13 1.94E-10 2.78E-11
  1.95E+06 5.03E-12 8.31E-10 7.62E-12 1.08E-11 7.63E-14 2.45E-11 2.53E-12 6.99E-14 1.78E-14 5.93E-13 6.02E-11 8.68E-11
  2.35E+06 5.17E-12 1.17E-10 1.24E-11 6.66E-12 1.97E-13 1.52E-11 3.06E-13 2.47E-14 1.08E-15 2.29E-13 1.14E-11 7.60E-11
  2.75E+06 4.28E-12 2.39E-11 1.35E-11 2.46E-12 1.83E-13 4.15E-12 3.27E-14 5.11E-15 2.93E-17 3.53E-14 2.03E-12 4.08E-11
  3.15E+06 3.29E-12 6.50E-12 1.12E-11 7.62E-13 9.55E-14 7.87E-13 4.53E-15 8.96E-16 6.25E-19 3.69E-15 4.28E-13 2.23E-11
  3.55E+06 2.24E-12 1.91E-12 9.11E-12 3.25E-13 4.48E-14 1.92E-13 1.00E-15 1.98E-16 2.31E-20 2.64E-16 1.13E-13 1.11E-11
  3.95E+06 1.30E-12 6.03E-13 8.11E-12 2.22E-13 2.16E-14 7.08E-14 3.63E-16 6.45E-17 2.00E-21 1.19E-17 3.91E-14 4.38E-12
  4.35E+06 5.75E-13 2.05E-13 7.62E-12 2.32E-13 1.21E-14 4.34E-14 2.20E-16 3.36E-17 4.11E-22 3.53E-19 1.71E-14 1.61E-12
  4.75E+06 1.97E-13 7.25E-14 7.32E-12 2.58E-13 7.06E-15 2.87E-14 1.44E-16 2.05E-17 1.01E-22 1.05E-20 9.05E-15 6.00E-13
  5.15E+06 5.59E-14 2.38E-14 7.12E-12 2.05E-13 3.49E-15 1.17E-14 5.75E-17 8.06E-18 1.08E-23 5.02E-22 5.70E-15 2.21E-13
  5.55E+06 1.48E-14 6.60E-15 6.91E-12 1.04E-13 1.40E-15 2.58E-15 1.22E-17 1.83E-18 4.18E-25 3.13E-23 4.27E-15 6.97E-14
  5.95E+06 3.33E-15 1.33E-15 6.60E-12 2.77E-14 4.20E-16 2.52E-16 1.06E-18 2.84E-19 5.88E-27 1.15E-24 3.62E-15 1.18E-14
  6.35E+06 1.93E-16 1.17E-16 6.16E-12 2.99E-16 1.87E-17 4.54E-18 5.76E-21 1.14E-20 8.44E-30 5.92E-27 3.31E-15 4.18E-17
  6.75E+06 6.79E-17 6.05E-17 5.64E-12 7.18E-17 7.12E-19 4.73E-20 8.10E-24 1.86E-21 1.15E-32 7.54E-28 3.11E-15 5.95E-20
  7.15E+06 5.59E-17 8.21E-17 5.16E-12 3.66E-17 6.93E-20 1.08E-21 1.15E-25 5.18E-22 4.13E-34 6.67E-29 2.98E-15 1.68E-21
  7.55E+06 5.38E-17 1.15E-16 4.69E-12 1.82E-17 6.66E-21 3.86E-23 3.89E-27 1.39E-22 1.70E-35 3.98E-30 2.87E-15 8.39E-23
  7.95E+06 5.30E-17 1.66E-16 4.19E-12 8.80E-18 5.60E-22 1.44E-24 1.44E-28 3.64E-23 6.44E-37 1.64E-31 2.75E-15 4.53E-24
  8.35E+06 5.21E-17 2.14E-16 3.69E-12 4.19E-18 4.07E-23 5.53E-26 5.61E-30 9.36E-24 2.34E-38 4.68E-33 2.63E-15 2.51E-25
  8.75E+06 5.06E-17 2.32E-16 3.21E-12 1.97E-18 2.67E-24 2.15E-27 2.29E-31 2.37E-24 8.29E-40 9.63E-35 2.47E-15 1.41E-26
  9.15E+06 4.81E-17 2.21E-16 2.78E-12 9.24E-19 1.75E-25 8.68E-29 9.70E-33 5.98E-25 2.90E-41 1.55E-36 2.28E-15 8.00E-28
  9.55E+06 4.42E-17 1.97E-16 2.44E-12 4.39E-19 1.50E-26 3.83E-30 4.27E-34 1.52E-25 1.04E-42 2.08E-38 2.04E-15 4.36E-29
  9.95E+06 3.86E-17 1.70E-16 2.26E-12 2.20E-19 2.30E-27 2.73E-31 2.28E-35 4.04E-26 4.54E-44 2.36E-40 1.73E-15 2.12E-30
     Z        CH3O2    N2O      NO       NO2      HNO2     HNO3     HO2NO2   NO3      N2O5     CL2O2    CH3CL    HOCL    

     Z        CL       CLO      HCL      CLONO2   O2       H2S      HS       SO       SO2      H2SO4    HSO      CO2     
  5.00E+04 9.32E-18 1.66E-14 6.25E-12 2.73E-14 2.10E-03 1.99E-12 2.88E-17 5.27E-18 2.63E-11 2.06E-12 1.49E-13 4.00E-04
  1.50E+05 1.44E-17 2.40E-14 9.39E-12 4.09E-14 2.10E-03 1.95E-12 2.65E-17 1.08E-17 4.45E-11 4.22E-12 1.64E-13 4.05E-04
  2.50E+05 2.25E-17 4.13E-14 1.34E-11 6.95E-14 2.11E-03 1.91E-12 2.22E-17 2.09E-17 5.93E-11 6.77E-12 1.63E-13 4.09E-04
  3.50E+05 3.29E-17 7.53E-14 1.75E-11 1.26E-13 2.11E-03 1.92E-12 1.78E-17 3.96E-17 7.22E-11 9.27E-12 1.62E-13 4.13E-04
  7.50E+05 9.07E-17 5.90E-13 2.98E-11 6.34E-13 2.13E-03 2.80E-12 1.15E-17 5.22E-16 1.25E-10 1.50E-11 1.88E-13 4.27E-04
  1.15E+06 1.70E-16 1.76E-12 3.62E-11 2.44E-12 2.13E-03 3.17E-13 7.62E-19 2.94E-15 6.38E-11 5.52E-12 1.20E-14 4.30E-04
  1.55E+06 1.31E-15 2.13E-11 7.70E-11 1.38E-11 2.13E-03 2.60E-18 6.95E-24 5.56E-17 4.76E-13 6.71E-14 3.13E-20 4.31E-04
  1.95E+06 1.45E-14 5.71E-11 1.20E-10 8.54E-12 2.13E-03 2.56E-26 5.24E-30 3.16E-20 5.10E-17 2.66E-17 4.26E-27 4.31E-04
  2.35E+06 1.46E-13 7.60E-11 1.69E-10 1.09E-12 2.13E-03 1.08E-30 2.23E-31 6.64E-22 2.34E-19 1.37E-17 2.30E-29 4.31E-04
  2.75E+06 7.70E-13 6.14E-11 2.29E-10 7.03E-14 2.13E-03 4.89E-30 1.96E-30 2.22E-21 3.06E-19 1.36E-17 4.91E-29 4.31E-04
  3.15E+06 2.26E-12 3.82E-11 2.70E-10 3.55E-15 2.13E-03 3.21E-29 1.62E-29 6.26E-21 4.90E-19 1.34E-17 1.80E-28 4.31E-04
  3.55E+06 4.51E-12 1.92E-11 2.99E-10 2.14E-16 2.13E-03 1.94E-28 1.06E-28 1.53E-20 8.46E-19 1.30E-17 7.11E-28 4.31E-04
