 Gaussian points = 8
 FIXED SPECIES MIXING RATIOS:
    O2 =   2.100000000000000E-002  CO2 =   4.000000000000000E-004
 
    CH4 =   2.570408118175479E-006
 Standard CH3CL flux =  0.000E+00

 PO2= 9.350E-03  PNO= 9.853E-03  ZAPNO= 1.041E+03
 N= 4     X= 3.45876E-01  ERR= 2.88068E-07

 TIME = 0.0000E+00     TIMEY =   0.0000E+00 YEARS

 NPHOT =  0

 MIXING RATIOS OF LONG-LIVED SPECIES


     Z        H2CO     O        H2O      OH       HO2      H2O2     O3       H        H2       CH4      CO       CH3OOH  
  5.00E+04 1.50E-10 2.58E-16 1.13E-02 2.97E-14 1.03E-11 1.16E-09 1.02E-08 5.55E-20 8.57E-07 2.57E-06 1.30E-07 1.05E-09
  1.50E+05 1.58E-10 3.65E-16 6.98E-03 3.46E-14 1.05E-11 1.24E-09 1.24E-08 6.26E-20 8.57E-07 2.57E-06 1.22E-07 1.08E-09
  2.50E+05 1.60E-10 5.37E-16 4.15E-03 4.02E-14 1.06E-11 1.29E-09 1.55E-08 7.05E-20 8.58E-07 2.56E-06 1.15E-07 1.05E-09
  3.50E+05 1.53E-10 7.92E-16 2.26E-03 4.47E-14 1.03E-11 1.26E-09 1.96E-08 7.66E-20 8.58E-07 2.56E-06 1.09E-07 9.60E-10
  7.50E+05 7.63E-11 3.39E-15 1.66E-04 5.47E-14 7.92E-12 7.08E-10 4.23E-08 9.23E-20 8.59E-07 2.55E-06 9.16E-08 4.48E-10
  1.15E+06 2.32E-11 1.38E-14 9.18E-07 7.40E-14 4.88E-12 2.69E-10 9.89E-08 1.18E-19 8.60E-07 2.54E-06 7.72E-08 1.07E-10
  1.55E+06 2.20E-11 3.84E-13 1.21E-06 1.74E-13 3.53E-12 4.77E-11 7.47E-07 2.22E-19 8.55E-07 2.39E-06 3.29E-08 4.46E-11
  1.95E+06 3.93E-11 4.74E-12 2.06E-06 6.10E-13 9.27E-12 1.11E-10 2.17E-06 8.37E-19 8.24E-07 1.98E-06 1.40E-08 7.05E-11
  2.35E+06 5.89E-11 2.97E-11 3.06E-06 2.53E-12 2.67E-11 2.94E-10 3.29E-06 7.78E-18 7.65E-07 1.51E-06 1.24E-08 7.71E-11
  2.75E+06 7.53E-11 1.47E-10 3.96E-06 1.15E-11 5.75E-11 3.63E-10 3.36E-06 1.34E-16 6.94E-07 1.09E-06 1.20E-08 5.90E-11
  3.15E+06 7.46E-11 6.66E-10 4.72E-06 5.01E-11 7.83E-11 1.72E-10 2.36E-06 3.44E-15 6.37E-07 7.39E-07 1.04E-08 2.75E-11
  3.55E+06 6.84E-11 2.75E-09 5.19E-06 1.37E-10 9.11E-11 7.68E-11 1.15E-06 6.77E-14 6.49E-07 4.88E-07 1.05E-08 1.43E-11
  3.95E+06 4.58E-11 7.21E-09 5.31E-06 2.22E-10 1.16E-10 6.72E-11 6.57E-07 4.84E-13 7.86E-07 3.53E-07 1.21E-08 1.01E-11
  4.35E+06 2.71E-11 1.37E-08 5.20E-06 3.23E-10 1.59E-10 8.01E-11 3.75E-07 2.23E-12 1.03E-06 2.80E-07 1.71E-08 7.09E-12
