
     Z         PRESS      DEN     ProOH1    ProOH25    ProO3D    PO2D       PO2      PH2O      PO3D      PH2O2     FO3      FH2O      NumO2      NumOH      NumO1D
   5.000E+04 9.559E+05 2.428E+19 2.814E+05 1.221E+01 2.316E+06 0.000E+00 1.679E-16 4.465E-17 8.992E-06 2.366E-06 1.061E-08 1.127E-02 5.099E+17 6.868E+05 3.126E-03
   1.500E+05 8.495E+05 2.208E+19 2.143E+05 1.989E+01 2.724E+06 0.000E+00 4.501E-16 1.289E-16 9.648E-06 2.560E-06 1.278E-08 6.984E-03 4.639E+17 7.283E+05 4.201E-03
   2.500E+05 7.529E+05 2.004E+19 1.561E+05 2.754E+01 3.241E+06 0.000E+00 1.091E-15 3.310E-16 1.013E-05 2.735E-06 1.596E-08 4.153E-03 4.210E+17 7.662E+05 5.638E-03
   3.500E+05 6.654E+05 1.814E+19 1.005E+05 3.109E+01 3.764E+06 0.000E+00 2.399E-15 7.580E-16 1.039E-05 2.892E-06 1.997E-08 2.261E-03 3.812E+17 7.713E+05 7.324E-03
   4.500E+05 5.865E+05 1.627E+19 7.189E+04 3.629E+01 4.267E+06 0.000E+00 4.828E-15 1.576E-15 1.064E-05 3.034E-06 2.464E-08 1.416E-03 3.419E+17 8.053E+05 9.289E-03
   5.500E+05 5.158E+05 1.461E+19 4.374E+04 3.459E+01 4.681E+06 0.000E+00 8.999E-15 3.026E-15 1.072E-05 3.163E-06 2.989E-08 7.822E-04 3.072E+17 7.883E+05 1.133E-02
   6.500E+05 4.522E+05 1.314E+19 2.217E+04 2.688E+01 4.968E+06 0.000E+00 1.572E-14 5.479E-15 1.061E-05 3.281E-06 3.561E-08 3.733E-04 2.763E+17 7.091E+05 1.328E-02
   7.500E+05 3.951E+05 1.179E+19 1.016E+04 1.866E+01 5.141E+06 0.000E+00 2.604E-14 9.551E-15 1.042E-05 3.389E-06 4.186E-08 1.657E-04 2.479E+17 6.131E+05 1.518E-02
   8.500E+05 3.440E+05 1.055E+19 4.121E+03 1.151E+01 5.217E+06 0.000E+00 4.128E-14 1.642E-14 1.014E-05 3.490E-06 4.879E-08 6.649E-05 2.218E+17 5.405E+05 1.703E-02
   9.500E+05 2.979E+05 9.589E+18 7.744E+02 3.545E+00 5.094E+06 0.000E+00 6.363E-14 2.864E-14 9.342E-06 3.587E-06 5.686E-08 1.291E-05 2.017E+17 5.081E+05 1.789E-02
   1.050E+06 2.557E+05 8.821E+18 5.210E+01 4.164E-01 4.947E+06 0.000E+00 9.715E-14 5.207E-14 8.103E-06 3.680E-06 6.920E-08 9.066E-07 1.855E+17 5.390E+05 1.825E-02
   1.150E+06 2.184E+05 7.533E+18 6.373E+01 6.734E-01 5.978E+06 0.000E+00 1.472E-13 9.743E-14 8.309E-06 3.771E-06 9.552E-08 9.176E-07 1.584E+17 5.367E+05 2.582E-02
   1.250E+06 1.865E+05 6.433E+18 9.294E+01 1.099E+00 8.485E+06 0.000E+00 2.202E-13 1.813E-13 8.519E-06 3.857E-06 1.548E-07 9.429E-07 1.353E+17 5.161E+05 4.292E-02
   1.350E+06 1.593E+05 5.494E+18 1.518E+02 1.818E+00 1.314E+07 0.000E+00 3.289E-13 3.327E-13 8.768E-06 3.943E-06 2.727E-07 9.949E-07 1.155E+17 5.150E+05 7.780E-02
   1.450E+06 1.360E+05 4.692E+18 2.501E+02 3.067E+00 1.986E+07 0.000E+00 4.942E-13 6.030E-13 9.109E-06 4.031E-06 4.646E-07 1.084E-06 9.868E+16 5.685E+05 1.377E-01
   1.550E+06 1.162E+05 4.008E+18 3.930E+02 5.274E+00 2.791E+07 0.000E+00 7.500E-13 1.086E-12 9.612E-06 4.126E-06 7.244E-07 1.212E-06 8.428E+16 6.565E+05 2.266E-01
   1.650E+06 9.939E+04 3.364E+18 6.107E+02 9.018E+00 3.792E+07 8.680-308 1.145E-12 1.941E-12 1.081E-05 4.233E-06 1.043E-06 1.381E-06 7.074E+16 7.535E+05 3.703E-01
