 Gaussian points = 8
 FIXED SPECIES MIXING RATIOS:
    O2 =   2.100000000000000E-004  CO2 =   4.000000000000000E-004
 
    CH4 =   2.693080502353421E-007
 Low CH3CL flux      =  9.733E+06

 PO2= 7.853E-04  PNO= 2.886E-03  ZAPNO= 3.050E+02
 N= 3     X= 1.25804E-01  ERR= 2.35661E-06

 TIME = 0.0000E+00     TIMEY =   0.0000E+00 YEARS

 NPHOT =  0

 MIXING RATIOS OF LONG-LIVED SPECIES


     Z        H2CO     O        H2O      OH       HO2      H2O2     O3       H        H2       CH4      CO       CH3OOH  
  5.00E+04 4.54E-11 2.25E-15 1.13E-02 1.44E-13 1.57E-11 1.27E-09 5.05E-10 8.27E-18 4.47E-08 2.69E-07 2.94E-08 4.41E-10
  1.50E+05 5.08E-11 5.22E-15 6.98E-03 2.33E-13 1.75E-11 1.29E-09 9.76E-10 1.09E-17 4.47E-08 2.65E-07 2.21E-08 4.78E-10
  2.50E+05 5.47E-11 1.30E-14 4.15E-03 3.64E-13 1.87E-11 1.20E-09 2.04E-09 1.33E-17 4.47E-08 2.61E-07 1.63E-08 4.80E-10
  3.50E+05 5.46E-11 3.04E-14 2.26E-03 5.17E-13 1.91E-11 1.04E-09 4.06E-09 1.49E-17 4.47E-08 2.57E-07 1.19E-08 4.33E-10
  7.50E+05 3.27E-11 4.58E-13 1.66E-04 1.24E-12 1.79E-11 4.78E-10 2.98E-08 2.20E-17 4.48E-08 2.46E-07 4.65E-09 1.63E-10
  1.15E+06 7.70E-12 3.21E-12 9.37E-07 7.09E-13 4.43E-12 4.57E-11 9.77E-08 1.03E-17 4.53E-08 2.40E-07 6.30E-09 1.40E-11
  1.55E+06 8.60E-12 2.17E-11 1.05E-06 3.50E-12 7.00E-12 2.43E-11 7.77E-08 1.67E-16 4.86E-08 1.84E-07 8.81E-09 8.49E-12
  1.95E+06 5.63E-12 5.31E-11 1.22E-06 1.10E-11 1.12E-11 2.26E-11 2.91E-08 1.59E-15 5.81E-08 9.34E-08 9.94E-09 3.65E-12
  2.35E+06 3.14E-12 1.10E-10 1.29E-06 2.67E-11 2.03E-11 3.07E-11 1.32E-08 1.25E-14 8.23E-08 4.46E-08 1.27E-08 1.67E-12
  2.75E+06 1.75E-12 1.97E-10 1.28E-06 5.72E-11 3.85E-11 4.76E-11 5.95E-09 8.49E-14 1.30E-07 2.46E-08 1.76E-08 8.31E-13
  3.15E+06 9.79E-13 3.21E-10 1.21E-06 1.09E-10 7.04E-11 7.41E-11 2.61E-09 4.91E-13 2.13E-07 1.51E-08 2.62E-08 4.27E-13
  3.55E+06 7.69E-13 5.41E-10 1.09E-06 1.92E-10 1.21E-10 1.11E-10 1.23E-09 2.71E-12 3.48E-07 8.75E-09 4.37E-08 2.06E-13
  3.95E+06 1.80E-12 9.31E-10 9.04E-07 3.49E-10 2.31E-10 2.07E-10 5.95E-10 1.69E-11 5.40E-07 3.75E-09 1.02E-07 8.04E-14
  4.35E+06 2.03E-12 1.81E-09 6.57E-07 6.07E-10 4.27E-10 3.75E-10 3.26E-10 1.14E-10 7.88E-07 1.04E-09 3.01E-07 2.13E-14
  4.75E+06 1.16E-12 4.99E-09 3.75E-07 8.02E-10 5.79E-10 4.13E-10 2.47E-10 7.67E-10 1.07E-06 2.15E-10 1.20E-06 3.89E-15
  5.15E+06 5.60E-13 2.50E-08 1.42E-07 6.30E-10 4.17E-10 1.46E-10 3.14E-10 4.78E-09 1.30E-06 4.18E-11 5.50E-06 3.81E-16
  5.55E+06 1.88E-13 3.72E-07 4.05E-08 2.24E-10 1.03E-10 8.02E-12 9.92E-10 2.83E-08 1.39E-06 9.24E-12 1.53E-05 8.74E-18
  5.95E+06 1.04E-14 1.17E-05 1.01E-08 2.87E-11 5.28E-12 5.58E-14 7.47E-09 7.89E-08 1.39E-06 2.49E-12 2.70E-05 1.11E-19
  6.35E+06 1.63E-15 5.38E-05 2.83E-09 9.10E-12 7.51E-13 5.97E-16 1.10E-08 1.02E-07 1.39E-06 8.33E-13 3.83E-05 3.70E-21
  6.75E+06 5.67E-16 1.27E-04 9.48E-10 2.86E-12 1.64E-13 1.29E-17 7.81E-09 1.12E-07 1.38E-06 3.44E-13 4.89E-05 3.14E-22
  7.15E+06 3.23E-16 2.12E-04 3.83E-10 8.11E-13 4.50E-14 5.42E-19 3.54E-09 1.17E-07 1.38E-06 1.70E-13 5.86E-05 4.52E-23
  7.55E+06 2.37E-16 2.97E-04 1.72E-10 2.11E-13 1.37E-14 3.35E-20 1.22E-09 1.20E-07 1.38E-06 9.33E-14 6.83E-05 7.94E-24
  7.95E+06 1.87E-16 3.78E-04 7.65E-11 5.16E-14 4.28E-15 2.18E-21 3.49E-10 1.22E-07 1.38E-06 5.11E-14 7.90E-05 1.36E-24
  8.35E+06 1.56E-16 4.48E-04 3.41E-11 1.35E-14 1.37E-15 1.50E-22 8.74E-11 1.23E-07 1.37E-06 2.82E-14 8.97E-05 2.34E-25
  8.75E+06 1.35E-16 5.09E-04 1.54E-11 4.77E-15 4.51E-16 1.10E-23 2.03E-11 1.23E-07 1.37E-06 1.58E-14 9.99E-05 4.06E-26
  9.15E+06 1.17E-16 5.66E-04 7.19E-12 2.89E-15 1.49E-16 8.59E-25 4.54E-12 1.23E-07 1.36E-06 9.10E-15 1.09E-04 7.15E-27
  9.55E+06 1.04E-16 6.30E-04 3.63E-12 2.59E-15 4.87E-17 7.47E-26 1.01E-12 1.22E-07 1.34E-06 5.61E-15 1.17E-04 1.27E-27
  9.95E+06 9.86E-17 7.18E-04 2.27E-12 2.63E-15 1.49E-17 1.08E-26 2.22E-13 1.21E-07 1.31E-06 4.01E-15 1.23E-04 3.06E-28
     Z        H2CO     O        H2O      OH       HO2      H2O2     O3       H        H2       CH4      CO       CH3OOH  

     Z        CH3O2    N2O      NO       NO2      HNO2     HNO3     HO2NO2   NO3      N2O5     CL2O2    CH3CL    HOCL    
  5.00E+04 4.20E-12 1.46E-09 3.37E-13 5.00E-13 5.42E-15 5.15E-12 1.59E-14 1.55E-16 5.73E-20 3.83E-23 1.26E-10 7.95E-14
  1.50E+05 5.51E-12 1.42E-09 3.79E-13 5.83E-13 8.84E-15 7.85E-12 4.56E-14 3.64E-16 2.54E-19 2.55E-22 1.15E-10 1.58E-13
  2.50E+05 6.89E-12 1.38E-09 4.47E-13 7.03E-13 1.45E-14 1.12E-11 1.34E-13 8.17E-16 1.16E-18 3.57E-21 1.04E-10 4.23E-13
  3.50E+05 7.67E-12 1.33E-09 5.51E-13 8.56E-13 2.26E-14 1.45E-11 3.83E-13 1.60E-15 5.05E-18 5.91E-20 9.46E-11 1.16E-12
  7.50E+05 5.61E-12 1.12E-09 1.16E-12 1.64E-12 6.68E-14 1.98E-11 3.37E-12 8.73E-15 5.42E-16 1.63E-16 6.84E-11 1.18E-11
  1.15E+06 9.44E-13 8.56E-10 5.62E-12 4.35E-12 1.13E-13 1.22E-11 2.19E-12 3.05E-14 8.45E-15 4.20E-14 5.81E-11 8.33E-12
  1.55E+06 1.69E-12 1.69E-10 6.62E-12 3.07E-12 2.34E-13 9.59E-12 4.05E-13 2.29E-14 1.48E-15 6.64E-14 1.86E-11 1.55E-11
  1.95E+06 1.38E-12 1.34E-11 5.03E-12 1.09E-12 1.87E-13 3.02E-12 5.13E-14 4.76E-15 4.35E-17 2.29E-14 1.58E-12 1.41E-11
  2.35E+06 8.36E-13 2.27E-12 3.36E-12 3.68E-13 9.58E-14 7.96E-13 8.48E-15 9.14E-16 1.27E-18 4.33E-15 1.14E-13 1.08E-11
  2.75E+06 4.67E-13 5.63E-13 2.56E-12 1.63E-13 4.79E-14 2.47E-13 2.03E-15 2.28E-16 6.21E-20 3.48E-16 1.20E-14 5.74E-12
  3.15E+06 2.53E-13 1.45E-13 2.15E-12 1.05E-13 2.30E-14 9.81E-14 7.13E-16 7.81E-17 5.85E-21 1.38E-17 1.96E-15 2.08E-12
  3.55E+06 1.27E-13 3.87E-14 1.94E-12 8.26E-14 1.08E-14 4.20E-14 2.93E-16 3.04E-17 7.18E-22 4.23E-19 4.66E-16 6.29E-13
  3.95E+06 4.77E-14 1.09E-14 1.80E-12 7.62E-14 5.33E-15 2.12E-14 1.53E-16 1.44E-17 1.23E-22 1.21E-20 1.54E-16 2.03E-13
  4.35E+06 1.21E-14 3.19E-15 1.70E-12 6.44E-14 2.55E-15 9.27E-15 7.17E-17 6.24E-18 1.72E-23 5.16E-22 6.76E-17 7.70E-14
  4.75E+06 2.36E-15 9.85E-16 1.61E-12 3.22E-14 9.30E-16 1.87E-15 1.62E-17 1.55E-18 7.83E-25 2.38E-23 3.92E-17 2.21E-14
  5.15E+06 3.43E-16 3.23E-16 1.49E-12 5.78E-15 1.96E-16 8.80E-17 7.82E-19 2.60E-19 8.34E-27 4.38E-25 2.81E-17 2.00E-15
  5.55E+06 2.02E-17 1.27E-16 1.31E-12 2.36E-16 1.80E-17 6.51E-19 3.44E-21 2.26E-20 1.21E-29 1.23E-26 2.29E-17 4.15E-17
  5.95E+06 3.67E-18 1.24E-16 1.12E-12 4.84E-17 5.72E-19 3.87E-21 9.68E-24 4.23E-21 1.13E-31 2.26E-27 1.99E-17 8.49E-20
  6.35E+06 2.49E-18 1.62E-16 9.29E-13 2.27E-17 4.40E-20 1.54E-22 1.87E-25 1.10E-21 4.36E-33 2.03E-28 1.80E-17 1.49E-21
  6.75E+06 2.35E-18 1.97E-16 7.71E-13 1.03E-17 3.36E-21 7.65E-24 5.61E-27 2.70E-22 1.52E-34 9.85E-30 1.69E-17 5.64E-23
  7.15E+06 2.32E-18 2.24E-16 6.47E-13 4.67E-18 2.35E-22 3.92E-25 2.18E-28 6.60E-23 5.35E-36 3.06E-31 1.61E-17 3.00E-24
  7.55E+06 2.31E-18 2.31E-16 5.44E-13 2.12E-18 1.51E-23 1.92E-26 9.18E-30 1.61E-23 1.82E-37 6.96E-33 1.54E-17 1.82E-25
  7.95E+06 2.29E-18 2.18E-16 4.47E-13 9.42E-19 8.90E-25 7.81E-28 3.73E-31 3.83E-24 5.73E-39 1.24E-34 1.48E-17 1.09E-26
  8.35E+06 2.25E-18 1.94E-16 3.62E-13 4.10E-19 5.47E-26 2.95E-29 1.53E-32 8.88E-25 1.72E-40 1.87E-36 1.40E-17 6.60E-28
  8.75E+06 2.19E-18 1.69E-16 2.89E-13 1.77E-19 4.49E-27 1.16E-30 6.34E-34 2.01E-25 4.97E-42 2.53E-38 1.32E-17 4.02E-29
  9.15E+06 2.08E-18 1.45E-16 2.31E-13 7.57E-20 6.30E-28 5.92E-32 2.66E-35 4.44E-26 1.40E-43 3.18E-40 1.21E-17 2.39E-30
  9.55E+06 1.92E-18 1.23E-16 1.89E-13 3.32E-20 1.35E-28 4.74E-33 1.14E-36 9.81E-27 4.02E-45 3.70E-42 1.08E-17 1.32E-31
  9.95E+06 1.67E-18 1.06E-16 1.70E-13 1.58E-20 3.67E-29 6.95E-34 5.80E-38 2.27E-27 1.43E-46 3.88E-44 9.19E-18 6.52E-33
     Z        CH3O2    N2O      NO       NO2      HNO2     HNO3     HO2NO2   NO3      N2O5     CL2O2    CH3CL    HOCL    

     Z        CL       CLO      HCL      CLONO2   O2       H2S      HS       SO       SO2      H2SO4    HSO      CO2     
  5.00E+04 4.49E-17 8.43E-15 6.45E-12 4.52E-15 2.10E-04 8.28E-13 2.79E-16 1.77E-16 1.47E-11 2.70E-12 6.32E-14 4.00E-04
  1.50E+05 9.93E-17 1.61E-14 1.00E-11 8.44E-15 2.14E-04 6.51E-13 2.15E-16 4.71E-16 2.06E-11 5.58E-12 5.89E-14 4.05E-04
  2.50E+05 2.15E-16 4.41E-14 1.45E-11 2.19E-14 2.19E-04 4.87E-13 1.33E-16 8.88E-16 2.19E-11 8.72E-12 4.73E-14 4.09E-04
  3.50E+05 4.07E-16 1.29E-13 1.88E-11 6.02E-14 2.23E-04 3.91E-13 8.23E-17 1.45E-15 2.10E-11 1.15E-11 3.87E-14 4.13E-04
  7.50E+05 1.38E-15 1.88E-12 2.20E-11 6.89E-13 2.37E-04 3.36E-13 2.89E-17 7.88E-15 2.19E-11 1.94E-11 2.69E-14 4.27E-04
  1.15E+06 2.43E-15 5.49E-12 2.81E-11 2.68E-12 2.40E-04 2.06E-15 8.04E-20 7.41E-15 4.33E-12 2.56E-12 6.94E-17 4.30E-04
  1.55E+06 2.59E-14 1.37E-11 5.40E-11 8.36E-13 2.40E-04 7.20E-24 1.88E-27 6.64E-19 1.31E-16 2.55E-16 2.07E-25 4.30E-04
  1.95E+06 1.74E-13 1.58E-11 7.10E-11 7.80E-14 2.40E-04 1.35E-29 3.95E-30 1.20E-21 9.64E-20 6.41E-18 1.09E-28 4.30E-04
  2.35E+06 6.34E-13 1.29E-11 7.82E-11 5.82E-15 2.40E-04 8.73E-29 3.28E-29 2.25E-21 1.27E-19 6.37E-18 2.88E-28 4.30E-04
