
     Z         PRESS      DEN     ProOH1    ProOH25    ProO3D    PO2D       PO2      PH2O      PO3D      PH2O2     FO3      FH2O      NumO2      NumOH      NumO1D
   5.000E+04 9.550E+05 2.401E+19 3.607E+05 7.450E-12 2.720E+06 0.000E+00 8.552E-28 2.264E-29 7.878E-06 2.305E-06 1.438E-08 1.371E-02 5.041E+18 1.266E+06 3.339E-03
   1.500E+05 8.471E+05 2.179E+19 2.741E+05 1.298E-10 3.146E+06 0.000E+00 1.814E-26 6.947E-28 8.439E-06 2.492E-06 1.711E-08 8.579E-03 4.575E+18 1.340E+06 4.444E-03
   2.500E+05 7.494E+05 1.973E+19 1.997E+05 2.086E-09 3.659E+06 0.000E+00 3.683E-25 2.032E-26 8.868E-06 2.660E-06 2.091E-08 5.204E-03 4.143E+18 1.411E+06 5.862E-03
   3.500E+05 6.610E+05 1.782E+19 1.295E+05 2.512E-08 4.140E+06 0.000E+00 6.252E-24 4.827E-25 9.114E-06 2.811E-06 2.549E-08 2.920E-03 3.743E+18 1.438E+06 7.459E-03
   4.500E+05 5.812E+05 1.606E+19 7.525E+04 2.270E-07 4.500E+06 0.000E+00 8.870E-23 9.165E-24 9.208E-06 2.947E-06 3.044E-08 1.542E-03 3.373E+18 1.438E+06 9.051E-03
   5.500E+05 5.095E+05 1.443E+19 3.964E+04 1.545E-06 4.687E+06 0.000E+00 1.048E-21 1.380E-22 9.188E-06 3.071E-06 3.534E-08 7.761E-04 3.031E+18 1.400E+06 1.048E-02
   6.500E+05 4.451E+05 1.294E+19 1.883E+04 7.843E-06 4.688E+06 0.000E+00 1.028E-20 1.647E-21 9.076E-06 3.185E-06 3.992E-08 3.681E-04 2.717E+18 1.274E+06 1.162E-02
   7.500E+05 3.875E+05 1.157E+19 7.983E+03 2.934E-05 4.530E+06 0.000E+00 8.362E-20 1.569E-20 8.875E-06 3.289E-06 4.413E-08 1.617E-04 2.429E+18 1.088E+06 1.246E-02
   8.500E+05 3.361E+05 1.031E+19 2.952E+03 7.915E-05 4.263E+06 0.000E+00 5.662E-19 1.205E-19 8.600E-06 3.386E-06 4.809E-08 6.373E-05 2.165E+18 9.522E+05 1.303E-02
   9.500E+05 2.904E+05 9.156E+18 8.930E+02 1.447E-04 3.944E+06 0.000E+00 3.207E-18 7.555E-19 8.271E-06 3.477E-06 5.208E-08 2.091E-05 1.923E+18 8.958E+05 1.342E-02
   1.050E+06 2.498E+05 8.107E+18 1.696E+02 1.362E-04 3.670E+06 0.000E+00 1.532E-17 3.919E-18 7.877E-06 3.562E-06 5.747E-08 4.287E-06 1.703E+18 8.500E+05 1.392E-02
   1.150E+06 2.140E+05 7.152E+18 1.654E+02 5.236E-04 3.590E+06 0.000E+00 6.237E-17 1.706E-17 7.427E-06 3.643E-06 6.758E-08 4.292E-06 1.502E+18 8.158E+05 1.524E-02
   1.250E+06 1.829E+05 6.116E+18 1.871E+02 1.636E-03 4.050E+06 0.000E+00 2.154E-16 6.216E-17 7.558E-06 3.719E-06 8.761E-08 4.304E-06 1.285E+18 7.049E+05 2.010E-02
   1.350E+06 1.563E+05 5.227E+18 2.340E+02 4.311E-03 5.038E+06 0.000E+00 6.327E-16 1.906E-16 7.694E-06 3.790E-06 1.253E-07 4.328E-06 1.098E+18 6.495E+05 2.925E-02
   1.450E+06 1.336E+05 4.468E+18 3.069E+02 9.850E-03 6.545E+06 0.000E+00 1.622E-15 5.048E-16 7.833E-06 3.858E-06 1.870E-07 4.368E-06 9.383E+17 6.534E+05 4.446E-02
   1.550E+06 1.142E+05 3.819E+18 4.008E+02 1.999E-02 8.441E+06 0.000E+00 3.707E-15 1.183E-15 7.987E-06 3.923E-06 2.767E-07 4.424E-06 8.020E+17 6.803E+05 6.708E-02
   1.650E+06 9.763E+04 3.264E+18 5.157E+02 3.677E-02 1.069E+07 0.000E+00 7.705E-15 2.506E-15 8.168E-06 3.985E-06 4.009E-07 4.495E-06 6.856E+17 7.158E+05 9.938E-02
   1.750E+06 8.346E+04 2.790E+18 6.499E+02 6.241E-02 1.323E+07 0.000E+00 1.482E-14 4.885E-15 8.389E-06 4.047E-06 5.651E-07 4.578E-06 5.860E+17 7.607E+05 1.439E-01
   1.850E+06 7.135E+04 2.385E+18 8.051E+02 9.940E-02 1.606E+07 0.000E+00 2.675E-14 8.922E-15 8.666E-06 4.107E-06 7.769E-07 4.671E-06 5.010E+17 8.178E+05 2.043E-01
   1.950E+06 6.100E+04 2.039E+18 9.821E+02 1.513E-01 1.918E+07 0.000E+00 4.598E-14 1.555E-14 9.019E-06 4.169E-06 1.043E-06 4.769E-06 4.283E+17 8.885E+05 2.855E-01
   2.050E+06 5.215E+04 1.744E+18 1.181E+03 2.246E-01 2.258E+07 0.000E+00 7.616E-14 2.645E-14 9.468E-06 4.233E-06 1.368E-06 4.870E-06 3.662E+17 9.722E+05 3.931E-01
