
     Z         PRESS      DEN     ProOH1    ProOH25    ProO3D    PO2D       PO2      PH2O      PO3D      PH2O2     FO3      FH2O      NumO2      NumOH      NumO1D
   5.000E+04 9.559E+05 2.428E+19 2.893E+05 1.473E+01 2.381E+06 0.000E+00 2.098E-16 5.383E-17 9.772E-06 2.408E-06 1.003E-08 1.127E-02 5.099E+17 7.342E+05 3.213E-03
   1.500E+05 8.495E+05 2.208E+19 2.223E+05 2.390E+01 2.824E+06 0.000E+00 5.590E-16 1.550E-16 1.050E-05 2.607E-06 1.218E-08 6.984E-03 4.639E+17 7.805E+05 4.357E-03
   2.500E+05 7.529E+05 2.004E+19 1.639E+05 3.303E+01 3.402E+06 0.000E+00 1.349E-15 3.969E-16 1.104E-05 2.785E-06 1.538E-08 4.153E-03 4.210E+17 8.231E+05 5.919E-03
   3.500E+05 6.654E+05 1.814E+19 1.069E+05 3.723E+01 4.003E+06 0.000E+00 2.954E-15 9.077E-16 1.133E-05 2.946E-06 1.947E-08 2.261E-03 3.812E+17 8.287E+05 7.791E-03
   4.500E+05 5.865E+05 1.627E+19 7.743E+04 4.341E+01 4.596E+06 0.000E+00 5.930E-15 1.885E-15 1.163E-05 3.091E-06 2.429E-08 1.416E-03 3.419E+17 8.657E+05 1.000E-02
   5.500E+05 5.158E+05 1.461E+19 4.770E+04 4.133E+01 5.105E+06 0.000E+00 1.103E-14 3.617E-15 1.173E-05 3.222E-06 2.978E-08 7.822E-04 3.072E+17 8.465E+05 1.235E-02
   6.500E+05 4.522E+05 1.314E+19 2.448E+04 3.209E+01 5.487E+06 0.000E+00 1.925E-14 6.540E-15 1.164E-05 3.343E-06 3.585E-08 3.733E-04 2.763E+17 7.620E+05 1.467E-02
   7.500E+05 3.951E+05 1.179E+19 1.136E+04 2.223E+01 5.748E+06 0.000E+00 3.183E-14 1.138E-14 1.145E-05 3.454E-06 4.256E-08 1.657E-04 2.479E+17 6.578E+05 1.698E-02
   8.500E+05 3.440E+05 1.055E+19 4.661E+03 1.368E+01 5.900E+06 0.000E+00 5.041E-14 1.951E-14 1.118E-05 3.558E-06 5.002E-08 6.649E-05 2.218E+17 5.795E+05 1.926E-02
   9.500E+05 2.979E+05 9.589E+18 8.872E+02 4.194E+00 5.836E+06 0.000E+00 7.755E-14 3.389E-14 1.036E-05 3.657E-06 5.873E-08 1.291E-05 2.017E+17 5.422E+05 2.050E-02
   1.050E+06 2.557E+05 8.821E+18 6.062E+01 4.903E-01 5.756E+06 0.000E+00 1.181E-13 6.131E-14 9.062E-06 3.753E-06 7.200E-08 9.066E-07 1.855E+17 5.724E+05 2.123E-02
   1.150E+06 2.184E+05 7.533E+18 7.489E+01 7.899E-01 7.024E+06 0.000E+00 1.783E-13 1.143E-13 9.303E-06 3.847E-06 1.002E-07 9.177E-07 1.584E+17 5.659E+05 3.034E-02
   1.250E+06 1.865E+05 6.433E+18 1.101E+02 1.288E+00 1.005E+07 0.000E+00 2.661E-13 2.124E-13 9.555E-06 3.937E-06 1.635E-07 9.431E-07 1.353E+17 5.411E+05 5.083E-02
   1.350E+06 1.593E+05 5.494E+18 1.806E+02 2.137E+00 1.561E+07 0.000E+00 3.971E-13 3.906E-13 9.860E-06 4.027E-06 2.882E-07 9.956E-07 1.155E+17 5.433E+05 9.247E-02
   1.450E+06 1.360E+05 4.692E+18 2.975E+02 3.627E+00 2.359E+07 0.000E+00 5.978E-13 7.121E-13 1.029E-05 4.121E-06 4.886E-07 1.086E-06 9.868E+16 6.093E+05 1.636E-01
   1.550E+06 1.162E+05 4.008E+18 4.667E+02 6.296E+00 3.307E+07 0.000E+00 9.115E-13 1.293E-12 1.093E-05 4.224E-06 7.553E-07 1.215E-06 8.428E+16 7.140E+05 2.685E-01
   1.650E+06 9.939E+04 3.364E+18 7.225E+02 1.089E+01 4.475E+07 3.842-304 1.400E-12 2.338E-12 1.237E-05 4.342E-06 1.075E-06 1.384E-06 7.074E+16 8.277E+05 4.371E-01
   1.750E+06 8.515E+04 2.882E+18 1.055E+03 1.928E+01 5.697E+07 1.032-263 2.158E-12 4.213E-12 1.382E-05 4.480E-06 1.430E-06 1.587E-06 6.060E+16 9.616E+05 6.494E-01
   1.850E+06 7.302E+04 2.442E+18 1.515E+03 3.361E+01 7.133E+07 7.480-229 3.321E-12 7.578E-12 1.627E-05 4.646E-06 1.796E-06 1.816E-06 5.133E+16 1.119E+06 9.658E-01
   1.950E+06 6.269E+04 2.096E+18 2.105E+03 5.853E+01 8.729E+07 4.097-199 5.072E-12 1.354E-11 1.926E-05 4.850E-06 2.163E-06 2.062E-06 4.406E+16 1.327E+06 1.377E+00
   2.050E+06 5.381E+04 1.799E+18 2.857E+03 9.983E+01 1.057E+08 2.078-173 7.669E-12 2.400E-11 2.344E-05 5.103E-06 2.506E-06 2.312E-06 3.783E+16 1.599E+06 1.942E+00
   2.150E+06 4.621E+04 1.539E+18 3.801E+03 1.648E+02 1.268E+08 3.486-151 1.141E-11 4.180E-11 2.937E-05 5.418E-06 2.805E-06 2.562E-06 3.234E+16 1.947E+06 2.730E+00
   2.250E+06 3.972E+04 1.316E+18 4.952E+03 2.625E+02 1.505E+08 4.848-132 1.665E-11 7.097E-11 3.750E-05 5.811E-06 3.049E-06 2.810E-06 2.767E+16 2.395E+06 3.796E+00
   2.350E+06 3.416E+04 1.127E+18 6.316E+03 4.016E+02 1.765E+08 1.514-115 2.376E-11 1.168E-10 4.854E-05 6.299E-06 3.228E-06 3.052E-06 2.369E+16 2.967E+06 5.214E+00
   2.450E+06 2.940E+04 9.655E+17 7.880E+03 5.891E+02 2.043E+08 2.514-101 3.314E-11 1.856E-10 6.344E-05 6.905E-06 3.335E-06 3.287E-06 2.029E+16 3.695E+06 7.058E+00
   2.550E+06 2.532E+04 8.278E+17 9.605E+03 8.278E+02 2.327E+08 4.643E-89 4.517E-11 2.845E-10 8.347E-05 7.652E-06 3.368E-06 3.515E-06 1.740E+16 4.616E+06 9.396E+00
   2.650E+06 2.182E+04 7.103E+17 1.143E+04 1.116E+03 2.604E+08 1.793E-78 6.023E-11 4.205E-10 1.103E-04 8.568E-06 3.323E-06 3.735E-06 1.493E+16 5.777E+06 1.228E+01
   2.750E+06 1.882E+04 6.099E+17 1.328E+04 1.445E+03 2.859E+08 2.486E-69 7.862E-11 6.002E-10 1.464E-04 9.683E-06 3.203E-06 3.947E-06 1.282E+16 7.226E+06 1.574E+01
   2.850E+06 1.625E+04 5.241E+17 1.506E+04 1.802E+03 3.083E+08 1.967E-61 1.006E-10 8.291E-10 1.952E-04 1.103E-05 3.014E-06 4.148E-06 1.102E+16 9.024E+06 1.979E+01
