
     Z         PRESS      DEN     ProOH1    ProOH25    ProO3D    PO2D       PO2      PH2O      PO3D      PH2O2     FO3      FH2O      NumO2      NumOH      NumO1D
   5.000E+04 9.550E+05 2.401E+19 3.457E+05 4.220E-12 2.607E+06 0.000E+00 3.939E-28 1.282E-29 6.890E-06 2.245E-06 1.576E-08 1.371E-02 5.041E+18 1.230E+06 3.200E-03
   1.500E+05 8.471E+05 2.179E+19 2.612E+05 7.907E-11 2.998E+06 0.000E+00 8.991E-27 4.231E-28 7.364E-06 2.426E-06 1.868E-08 8.579E-03 4.575E+18 1.297E+06 4.234E-03
   2.500E+05 7.494E+05 1.973E+19 1.892E+05 1.348E-09 3.466E+06 0.000E+00 1.958E-25 1.313E-26 7.721E-06 2.588E-06 2.275E-08 5.204E-03 4.143E+18 1.362E+06 5.554E-03
   3.500E+05 6.610E+05 1.782E+19 1.222E+05 1.698E-08 3.907E+06 0.000E+00 3.543E-24 3.264E-25 7.916E-06 2.735E-06 2.770E-08 2.920E-03 3.743E+18 1.386E+06 7.040E-03
   4.500E+05 5.812E+05 1.606E+19 7.098E+04 1.585E-07 4.245E+06 0.000E+00 5.308E-23 6.402E-24 7.977E-06 2.867E-06 3.314E-08 1.542E-03 3.373E+18 1.386E+06 8.538E-03
   5.500E+05 5.095E+05 1.443E+19 3.750E+04 1.105E-06 4.434E+06 0.000E+00 6.560E-22 9.861E-23 7.936E-06 2.988E-06 3.871E-08 7.761E-04 3.031E+18 1.349E+06 9.910E-03
   6.500E+05 4.451E+05 1.294E+19 1.793E+04 5.701E-06 4.464E+06 0.000E+00 6.671E-21 1.197E-21 7.816E-06 3.098E-06 4.414E-08 3.681E-04 2.717E+18 1.229E+06 1.107E-02
   7.500E+05 3.875E+05 1.157E+19 7.674E+03 2.159E-05 4.355E+06 0.000E+00 5.587E-20 1.154E-20 7.616E-06 3.199E-06 4.943E-08 1.617E-04 2.429E+18 1.045E+06 1.198E-02
   8.500E+05 3.361E+05 1.031E+19 2.871E+03 5.879E-05 4.146E+06 0.000E+00 3.870E-19 8.949E-20 7.351E-06 3.293E-06 5.472E-08 6.373E-05 2.165E+18 9.070E+05 1.267E-02
   9.500E+05 2.904E+05 9.156E+18 8.813E+02 1.082E-04 3.893E+06 0.000E+00 2.232E-18 5.652E-19 7.040E-06 3.382E-06 6.039E-08 2.091E-05 1.923E+18 8.444E+05 1.324E-02
