
     Z      Reaction1   Reaction25   Reaction59
   5.00E+04 3.74E+05 1.01E+01 1.89E+01
   1.50E+05 2.84E+05 1.66E+01 2.29E+01
   2.50E+05 2.05E+05 2.33E+01 2.77E+01
   3.50E+05 1.31E+05 2.65E+01 3.23E+01
   4.50E+05 9.35E+04 3.12E+01 3.65E+01
   5.50E+05 5.66E+04 3.01E+01 3.97E+01
   6.50E+05 2.85E+04 2.37E+01 4.16E+01
   7.50E+05 1.30E+04 1.67E+01 4.23E+01
   8.50E+05 5.21E+03 1.04E+01 4.20E+01
   9.50E+05 9.67E+02 3.26E+00 3.96E+01
   1.05E+06 6.37E+01 3.89E-01 3.64E+01
   1.15E+06 7.53E+01 6.33E-01 4.26E+01
   1.25E+06 1.05E+02 1.03E+00 5.83E+01
   1.35E+06 1.63E+02 1.68E+00 8.73E+01
   1.45E+06 2.54E+02 2.77E+00 1.28E+02
   1.55E+06 3.78E+02 4.61E+00 1.75E+02
   1.65E+06 5.56E+02 7.62E+00 2.33E+02
   1.75E+06 7.72E+02 1.29E+01 2.85E+02
   1.85E+06 1.06E+03 2.18E+01 3.44E+02
   1.95E+06 1.42E+03 3.69E+01 3.99E+02
   2.05E+06 1.86E+03 6.16E+01 4.56E+02
   2.15E+06 2.41E+03 1.00E+02 5.15E+02
   2.25E+06 3.06E+03 1.57E+02 5.72E+02
   2.35E+06 3.82E+03 2.38E+02 6.27E+02
   2.45E+06 4.67E+03 3.47E+02 6.76E+02
   2.55E+06 5.61E+03 4.85E+02 7.16E+02
   2.65E+06 6.61E+03 6.51E+02 7.43E+02
   2.75E+06 7.62E+03 8.42E+02 7.57E+02
   2.85E+06 8.62E+03 1.05E+03 7.57E+02
   2.95E+06 9.57E+03 1.27E+03 7.43E+02
   3.05E+06 1.05E+04 1.50E+03 7.18E+02
   3.15E+06 1.13E+04 1.71E+03 6.84E+02
   3.25E+06 1.18E+04 1.92E+03 6.37E+02
   3.35E+06 1.18E+04 2.10E+03 5.66E+02
   3.45E+06 1.13E+04 2.26E+03 4.83E+02
   3.55E+06 1.04E+04 2.39E+03 4.00E+02
   3.65E+06 9.23E+03 2.52E+03 3.25E+02
   3.75E+06 8.47E+03 2.70E+03 2.72E+02
   3.85E+06 7.56E+03 2.88E+03 2.25E+02
   3.95E+06 6.58E+03 3.07E+03 1.83E+02
   4.05E+06 5.64E+03 3.29E+03 1.47E+02
   4.15E+06 4.73E+03 3.51E+03 1.17E+02
   4.25E+06 3.87E+03 3.74E+03 9.05E+01
   4.35E+06 3.05E+03 3.95E+03 6.80E+01
   4.45E+06 2.34E+03 4.15E+03 5.00E+01
   4.55E+06 1.77E+03 4.33E+03 3.60E+01
   4.65E+06 1.31E+03 4.48E+03 2.54E+01
   4.75E+06 9.48E+02 4.64E+03 1.76E+01
   4.85E+06 6.76E+02 4.81E+03 1.19E+01
   4.95E+06 4.73E+02 5.06E+03 7.91E+00
   5.05E+06 3.19E+02 5.41E+03 5.03E+00
   5.15E+06 2.11E+02 5.92E+03 3.12E+00
   5.25E+06 1.37E+02 6.62E+03 1.90E+00
   5.35E+06 8.92E+01 7.47E+03 1.14E+00
   5.45E+06 5.81E+01 8.41E+03 6.84E-01
   5.55E+06 3.82E+01 9.35E+03 4.11E-01
   5.65E+06 2.55E+01 1.02E+04 2.50E-01
   5.75E+06 1.74E+01 1.08E+04 1.54E-01
   5.85E+06 1.21E+01 1.12E+04 9.66E-02
   5.95E+06 8.64E+00 1.13E+04 6.20E-02
   6.05E+06 6.21E+00 1.11E+04 4.01E-02
   6.15E+06 4.57E+00 1.06E+04 2.67E-02
   6.25E+06 3.45E+00 9.87E+03 1.82E-02
   6.35E+06 2.65E+00 9.01E+03 1.27E-02
   6.45E+06 2.07E+00 8.06E+03 9.08E-03
   6.55E+06 1.63E+00 7.08E+03 6.59E-03
   6.65E+06 1.30E+00 6.13E+03 4.84E-03
   6.75E+06 1.02E+00 5.23E+03 3.56E-03
   6.85E+06 8.00E-01 4.39E+03 2.63E-03
   6.95E+06 7.29E-01 3.59E+03 2.31E-03
   7.05E+06 9.53E-01 2.86E+03 3.00E-03
   7.15E+06 1.23E+00 2.26E+03 3.87E-03
   7.25E+06 1.39E+00 1.78E+03 4.39E-03
   7.35E+06 1.43E+00 1.39E+03 4.53E-03
   7.45E+06 1.38E+00 1.07E+03 4.38E-03
   7.55E+06 1.26E+00 8.21E+02 4.02E-03
   7.65E+06 1.10E+00 6.26E+02 3.56E-03
   7.75E+06 9.42E-01 4.75E+02 3.07E-03
   7.85E+06 7.89E-01 3.59E+02 2.60E-03
   7.95E+06 6.69E-01 2.71E+02 2.23E-03
   8.05E+06 5.72E-01 2.06E+02 1.92E-03
   8.15E+06 4.73E-01 1.55E+02 1.61E-03
   8.25E+06 3.97E-01 1.17E+02 1.37E-03
   8.35E+06 3.27E-01 8.69E+01 1.15E-03
   8.45E+06 2.71E-01 6.49E+01 9.66E-04
   8.55E+06 2.25E-01 4.84E+01 8.19E-04
   8.65E+06 1.85E-01 3.57E+01 6.89E-04
   8.75E+06 1.53E-01 2.63E+01 5.85E-04
   8.85E+06 1.27E-01 1.93E+01 4.99E-04
   8.95E+06 1.06E-01 1.42E+01 4.29E-04
   9.05E+06 8.82E-02 1.04E+01 3.70E-04
   9.15E+06 7.35E-02 7.56E+00 3.20E-04
   9.25E+06 6.16E-02 5.55E+00 2.78E-04
   9.35E+06 5.14E-02 4.08E+00 2.41E-04
   9.45E+06 4.27E-02 3.01E+00 2.08E-04
   9.55E+06 3.53E-02 2.24E+00 1.79E-04
   9.65E+06 2.89E-02 1.68E+00 1.52E-04
   9.75E+06 2.36E-02 1.27E+00 1.28E-04
   9.85E+06 1.93E-02 9.79E-01 1.08E-04
   9.95E+06 1.58E-02 7.69E-01 8.99E-05
