
     Z      Reaction1   Reaction25   Reaction59
   5.00E+04 2.10E+05 1.64E+06 1.98E+00
   1.50E+05 2.67E+05 1.90E+06 3.98E+00
   2.50E+05 3.40E+05 1.96E+06 8.33E+00
   3.50E+05 3.63E+05 1.75E+06 1.60E+01
   4.50E+05 3.93E+05 1.73E+06 2.72E+01
   5.50E+05 3.52E+05 1.54E+06 4.32E+01
   6.50E+05 2.54E+05 1.19E+06 6.44E+01
   7.50E+05 1.59E+05 8.71E+05 8.96E+01
   8.50E+05 8.53E+04 6.61E+05 1.18E+02
   9.50E+05 2.15E+04 2.09E+05 1.50E+02
   1.05E+06 2.03E+03 1.78E+04 1.92E+02
   1.15E+06 2.73E+03 1.91E+04 2.54E+02
   1.25E+06 3.69E+03 2.09E+04 3.31E+02
   1.35E+06 4.52E+03 2.30E+04 3.77E+02
   1.45E+06 4.71E+03 2.53E+04 3.51E+02
   1.55E+06 4.36E+03 2.76E+04 2.79E+02
   1.65E+06 3.78E+03 2.99E+04 2.01E+02
   1.75E+06 3.17E+03 3.21E+04 1.37E+02
   1.85E+06 2.59E+03 3.42E+04 9.03E+01
   1.95E+06 2.07E+03 3.62E+04 5.78E+01
   2.05E+06 1.62E+03 3.81E+04 3.65E+01
   2.15E+06 1.25E+03 3.99E+04 2.29E+01
   2.25E+06 9.46E+02 4.17E+04 1.43E+01
   2.35E+06 7.09E+02 4.35E+04 8.94E+00
   2.45E+06 5.23E+02 4.51E+04 5.59E+00
   2.55E+06 3.81E+02 4.66E+04 3.49E+00
   2.65E+06 2.74E+02 4.77E+04 2.18E+00
   2.75E+06 1.94E+02 4.85E+04 1.36E+00
   2.85E+06 1.36E+02 4.89E+04 8.50E-01
   2.95E+06 9.53E+01 4.88E+04 5.31E-01
   3.05E+06 6.62E+01 4.81E+04 3.33E-01
   3.15E+06 4.60E+01 4.70E+04 2.09E-01
   3.25E+06 3.20E+01 4.53E+04 1.31E-01
   3.35E+06 2.22E+01 4.34E+04 8.22E-02
   3.45E+06 1.55E+01 4.15E+04 5.12E-02
   3.55E+06 1.07E+01 3.99E+04 3.15E-02
   3.65E+06 7.46E+00 3.88E+04 1.91E-02
   3.75E+06 5.19E+00 3.85E+04 1.14E-02
   3.85E+06 3.63E+00 3.87E+04 6.68E-03
   3.95E+06 2.59E+00 3.92E+04 3.91E-03
   4.05E+06 1.89E+00 3.97E+04 2.31E-03
   4.15E+06 1.44E+00 3.96E+04 1.38E-03
   4.25E+06 1.14E+00 3.87E+04 8.48E-04
   4.35E+06 9.35E-01 3.67E+04 5.37E-04
   4.45E+06 7.92E-01 3.38E+04 3.50E-04
   4.55E+06 6.82E-01 2.99E+04 2.32E-04
   4.65E+06 5.91E-01 2.56E+04 1.56E-04
   4.75E+06 5.07E-01 2.10E+04 1.06E-04
   4.85E+06 4.28E-01 1.65E+04 7.23E-05
   4.95E+06 3.52E-01 1.25E+04 4.96E-05
   5.05E+06 2.83E-01 9.03E+03 3.41E-05
   5.15E+06 2.21E-01 6.32E+03 2.37E-05
   5.25E+06 1.71E-01 4.32E+03 1.67E-05
   5.35E+06 1.31E-01 2.91E+03 1.19E-05
   5.45E+06 1.00E-01 1.94E+03 8.57E-06
   5.55E+06 7.84E-02 1.27E+03 6.50E-06
   5.65E+06 6.47E-02 8.10E+02 5.35E-06
   5.75E+06 5.36E-02 5.14E+02 4.50E-06
   5.85E+06 4.26E-02 3.25E+02 3.68E-06
   5.95E+06 3.24E-02 2.06E+02 2.90E-06
   6.05E+06 2.38E-02 1.31E+02 2.21E-06
   6.15E+06 1.70E-02 8.45E+01 1.66E-06
   6.25E+06 1.19E-02 5.48E+01 1.22E-06
   6.35E+06 8.36E-03 3.59E+01 8.97E-07
   6.45E+06 5.85E-03 2.38E+01 6.60E-07
   6.55E+06 4.12E-03 1.59E+01 4.90E-07
   6.65E+06 2.93E-03 1.07E+01 3.66E-07
   6.75E+06 2.10E-03 7.26E+00 2.77E-07
   6.85E+06 1.52E-03 4.98E+00 2.11E-07
   6.95E+06 1.11E-03 3.45E+00 1.63E-07
   7.05E+06 8.16E-04 2.42E+00 1.26E-07
   7.15E+06 6.05E-04 1.72E+00 9.81E-08
   7.25E+06 4.48E-04 1.22E+00 7.62E-08
   7.35E+06 3.27E-04 8.72E-01 5.85E-08
   7.45E+06 2.36E-04 6.19E-01 4.43E-08
   7.55E+06 1.68E-04 4.39E-01 3.32E-08
   7.65E+06 1.18E-04 3.10E-01 2.46E-08
   7.75E+06 8.21E-05 2.19E-01 1.80E-08
   7.85E+06 5.65E-05 1.54E-01 1.31E-08
   7.95E+06 3.86E-05 1.09E-01 9.39E-09
   8.05E+06 2.61E-05 7.64E-02 6.70E-09
   8.15E+06 1.76E-05 5.37E-02 4.75E-09
   8.25E+06 1.18E-05 3.77E-02 3.36E-09
   8.35E+06 7.83E-06 2.65E-02 2.36E-09
   8.45E+06 5.20E-06 1.87E-02 1.65E-09
   8.55E+06 3.45E-06 1.31E-02 1.16E-09
   8.65E+06 2.28E-06 9.25E-03 8.08E-10
   8.75E+06 1.51E-06 6.53E-03 5.65E-10
   8.85E+06 1.00E-06 4.61E-03 3.95E-10
   8.95E+06 6.66E-07 3.27E-03 2.76E-10
   9.05E+06 4.43E-07 2.32E-03 1.94E-10
   9.15E+06 2.96E-07 1.66E-03 1.36E-10
   9.25E+06 1.98E-07 1.19E-03 9.63E-11
   9.35E+06 1.34E-07 8.53E-04 6.83E-11
   9.45E+06 9.07E-08 6.19E-04 4.87E-11
   9.55E+06 6.20E-08 4.53E-04 3.49E-11
   9.65E+06 4.29E-08 3.36E-04 2.52E-11
   9.75E+06 3.01E-08 2.53E-04 1.84E-11
   9.85E+06 2.15E-08 1.95E-04 1.36E-11
   9.95E+06 1.58E-08 1.54E-04 1.01E-11
