
     Z         PRESS      DEN     ProOH1    ProOH25    ProO3D    PO2D       PO2      PH2O      PO3D      PH2O2     FO3      FH2O      NumO2      NumOH      NumO1D
   5.000E+04 9.561E+05 2.429E+19 2.097E+05 1.640E+06 1.709E+06 0.000E+00 1.712E-11 5.993E-12 1.394E-04 5.386E-06 5.049E-10 1.127E-02 5.100E+15 3.492E+06 2.329E-03
   1.500E+05 8.500E+05 2.209E+19 2.673E+05 1.896E+06 3.362E+06 0.000E+00 2.783E-11 1.229E-11 1.560E-04 6.177E-06 9.756E-10 6.983E-03 4.739E+15 5.156E+06 5.237E-03
   2.500E+05 7.536E+05 2.006E+19 3.395E+05 1.956E+06 6.975E+06 0.000E+00 3.986E-11 2.348E-11 1.704E-04 6.933E-06 2.040E-09 4.153E-03 4.390E+15 7.294E+06 1.225E-02
   3.500E+05 6.662E+05 1.816E+19 3.627E+05 1.745E+06 1.343E+07 0.000E+00 5.263E-11 4.248E-11 1.822E-04 7.650E-06 4.058E-09 2.262E-03 4.053E+15 9.391E+06 2.639E-02
   4.500E+05 5.875E+05 1.629E+19 3.930E+05 1.733E+06 2.306E+07 0.000E+00 6.662E-11 7.508E-11 1.934E-04 8.334E-06 7.319E-09 1.417E-03 3.701E+15 1.244E+07 5.066E-02
   5.500E+05 5.168E+05 1.464E+19 3.517E+05 1.537E+06 3.719E+07 0.000E+00 8.291E-11 1.340E-10 2.037E-04 9.000E-06 1.247E-08 7.832E-04 3.381E+15 1.467E+07 9.078E-02
   6.500E+05 4.533E+05 1.318E+19 2.542E+05 1.187E+06 5.625E+07 0.000E+00 1.017E-10 2.409E-10 2.140E-04 9.658E-06 1.995E-08 3.740E-04 3.086E+15 1.525E+07 1.516E-01
   7.500E+05 3.962E+05 1.182E+19 1.594E+05 8.710E+05 7.958E+07 0.000E+00 1.226E-10 4.432E-10 2.258E-04 1.033E-05 2.981E-08 1.662E-04 2.802E+15 1.465E+07 2.368E-01
   8.500E+05 3.451E+05 1.058E+19 8.528E+04 6.605E+05 1.063E+08 0.000E+00 1.468E-10 9.338E-10 2.405E-04 1.105E-05 4.175E-08 6.685E-05 2.529E+15 1.343E+07 3.494E-01
   9.500E+05 2.989E+05 9.624E+18 2.153E+04 2.091E+05 1.388E+08 1.271-153 1.720E-10 1.666E-09 2.585E-04 1.185E-05 5.578E-08 1.304E-05 2.312E+15 9.209E+06 4.905E-01
   1.050E+06 2.568E+05 8.857E+18 2.027E+03 1.782E+04 1.854E+08 1.126-119 1.967E-10 2.158E-09 2.835E-04 1.283E-05 7.383E-08 9.321E-07 2.128E+15 4.990E+06 6.876E-01
   1.150E+06 2.194E+05 7.567E+18 2.732E+03 1.915E+04 2.485E+08 4.059-104 2.277E-10 2.700E-09 3.360E-04 1.412E-05 9.773E-08 9.373E-07 1.817E+15 5.363E+06 1.079E+00
   1.250E+06 1.874E+05 6.465E+18 3.693E+03 2.086E+04 3.318E+08 8.290E-91 2.672E-10 3.401E-09 4.260E-04 1.590E-05 1.205E-07 9.486E-07 1.552E+15 6.721E+06 1.686E+00
   1.350E+06 1.601E+05 5.524E+18 4.516E+03 2.296E+04 3.967E+08 2.107E-79 3.158E-10 4.285E-09 5.835E-04 1.837E-05 1.231E-07 9.703E-07 1.326E+15 8.831E+06 2.360E+00
   1.450E+06 1.368E+05 4.720E+18 4.714E+03 2.528E+04 4.003E+08 1.307E-69 3.705E-10 5.336E-09 8.270E-04 2.155E-05 1.025E-07 1.004E-06 1.133E+15 1.142E+07 2.787E+00
   1.550E+06 1.169E+05 4.033E+18 4.357E+03 2.761E+04 3.551E+08 3.473E-61 4.267E-10 6.544E-09 1.133E-03 2.510E-05 7.773E-08 1.046E-06 9.684E+14 1.412E+07 2.893E+00
   1.650E+06 9.993E+04 3.447E+18 3.783E+03 2.988E+04 2.951E+08 6.274E-54 4.824E-10 7.936E-09 1.457E-03 2.863E-05 5.879E-08 1.092E-06 8.275E+14 1.675E+07 2.813E+00
   1.750E+06 8.540E+04 2.946E+18 3.174E+03 3.207E+04 2.376E+08 1.129E-47 5.376E-10 9.563E-09 1.769E-03 3.194E-05 4.559E-08 1.138E-06 7.071E+14 1.924E+07 2.650E+00
