
     Z         PRESS      DEN     ProOH1    ProOH25    ProO3D    PO2D       PO2      PH2O      PO3D      PH2O2     FO3      FH2O      NumO2      NumOH      NumO1D
   5.000E+04 9.561E+05 2.429E+19 4.930E+05 3.940E+08 4.018E+06 0.000E+00 1.110E-10 1.440E-09 1.358E-04 7.640E-06 1.218E-09 1.127E-02 5.100E+15 4.464E+08 5.476E-03
   1.500E+05 8.500E+05 2.209E+19 4.136E+05 2.507E+08 5.202E+06 0.000E+00 1.159E-10 1.625E-09 1.507E-04 8.155E-06 1.563E-09 6.983E-03 4.739E+15 4.069E+08 8.103E-03
   2.500E+05 7.536E+05 2.006E+19 3.388E+05 1.534E+08 6.959E+06 0.000E+00 1.214E-10 1.842E-09 1.635E-04 8.622E-06 2.122E-09 4.153E-03 4.391E+15 3.539E+08 1.222E-02
   3.500E+05 6.662E+05 1.816E+19 2.584E+05 8.634E+07 9.568E+06 0.000E+00 1.274E-10 2.102E-09 1.738E-04 9.050E-06 3.031E-09 2.262E-03 4.054E+15 2.882E+08 1.880E-02
   4.500E+05 5.875E+05 1.629E+19 2.218E+05 5.581E+07 1.301E+07 0.000E+00 1.342E-10 2.418E-09 1.831E-04 9.446E-06 4.362E-09 1.417E-03 3.702E+15 2.497E+08 2.859E-02
   5.500E+05 5.168E+05 1.464E+19 1.831E+05 3.218E+07 1.936E+07 0.000E+00 1.419E-10 2.807E-09 1.911E-04 9.820E-06 6.919E-09 7.832E-04 3.381E+15 1.989E+08 4.726E-02
   6.500E+05 4.533E+05 1.318E+19 1.400E+05 1.626E+07 3.099E+07 0.000E+00 1.510E-10 3.299E-09 1.981E-04 1.019E-05 1.187E-08 3.740E-04 3.087E+15 1.446E+08 8.355E-02
   7.500E+05 3.962E+05 1.182E+19 9.986E+04 7.750E+06 4.986E+07 0.000E+00 1.620E-10 3.944E-09 2.054E-04 1.058E-05 2.053E-08 1.662E-04 2.803E+15 1.003E+08 1.484E-01
   8.500E+05 3.451E+05 1.058E+19 6.186E+04 3.403E+06 7.709E+07 0.000E+00 1.761E-10 4.810E-09 2.140E-04 1.104E-05 3.404E-08 6.685E-05 2.530E+15 6.687E+07 2.535E-01
   9.500E+05 2.989E+05 9.624E+18 1.792E+04 7.533E+05 1.155E+08 1.479-138 1.945E-10 6.002E-09 2.240E-04 1.160E-05 5.358E-08 1.304E-05 2.313E+15 3.223E+07 4.082E-01
   1.050E+06 2.568E+05 8.857E+18 1.864E+03 6.366E+04 1.705E+08 2.676-106 2.196E-10 7.711E-09 2.383E-04 1.235E-05 8.079E-08 9.321E-07 2.128E+15 1.152E+07 6.324E-01
   1.150E+06 2.194E+05 7.567E+18 2.613E+03 7.246E+04 2.389E+08 2.693E-92 2.556E-10 1.027E-08 2.746E-04 1.346E-05 1.150E-07 9.322E-07 1.818E+15 1.219E+07 1.037E+00
   1.250E+06 1.874E+05 6.465E+18 3.540E+03 8.363E+04 3.237E+08 2.475E-80 3.045E-10 1.388E-08 3.384E-04 1.507E-05 1.480E-07 9.323E-07 1.553E+15 1.490E+07 1.645E+00
   1.350E+06 1.601E+05 5.524E+18 4.352E+03 9.651E+04 3.979E+08 4.119E-70 3.680E-10 1.874E-08 4.540E-04 1.740E-05 1.587E-07 9.323E-07 1.327E+15 1.947E+07 2.367E+00
   1.450E+06 1.368E+05 4.720E+18 4.734E+03 1.092E+05 4.329E+08 2.232E-61 4.427E-10 2.482E-08 6.500E-04 2.052E-05 1.411E-07 9.322E-07 1.134E+15 2.573E+07 3.013E+00
   1.550E+06 1.169E+05 4.033E+18 4.590E+03 1.200E+05 4.198E+08 6.492E-54 5.222E-10 3.192E-08 9.321E-04 2.424E-05 1.117E-07 9.319E-07 9.689E+14 3.283E+07 3.420E+00
   1.650E+06 9.993E+04 3.447E+18 4.040E+03 1.279E+05 3.698E+08 1.557E-47 6.021E-10 3.984E-08 1.270E-03 2.816E-05 8.447E-08 9.312E-07 8.281E+14 3.950E+07 3.525E+00
   1.750E+06 8.540E+04 2.946E+18 3.315E+03 1.329E+05 3.039E+08 4.438E-42 6.806E-10 4.851E-08 1.620E-03 3.192E-05 6.367E-08 9.299E-07 7.078E+14 4.487E+07 3.390E+00
   1.850E+06 7.298E+04 2.517E+18 2.592E+03 1.352E+05 2.381E+08 2.055E-37 7.583E-10 5.788E-08 1.952E-03 3.531E-05 4.846E-08 9.279E-07 6.049E+14 4.875E+07 3.108E+00
   1.950E+06 6.238E+04 2.152E+18 1.962E+03 1.352E+05 1.808E+08 2.017E-33 8.363E-10 6.792E-08 2.251E-03 3.826E-05 3.733E-08 9.251E-07 5.171E+14 5.131E+07 2.761E+00
   2.050E+06 5.332E+04 1.839E+18 1.453E+03 1.332E+05 1.344E+08 5.257E-30 9.157E-10 7.857E-08 2.513E-03 4.077E-05 2.908E-08 9.216E-07 4.420E+14 5.280E+07 2.402E+00
   2.150E+06 4.557E+04 1.572E+18 1.060E+03 1.295E+05 9.849E+07 4.415E-27 9.976E-10 8.980E-08 2.740E-03 4.286E-05 2.287E-08 9.172E-07 3.778E+14 5.344E+07 2.059E+00
   2.250E+06 3.896E+04 1.344E+18 7.642E+02 1.245E+05 7.144E+07 1.408E-24 1.083E-09 1.016E-07 2.933E-03 4.459E-05 1.813E-08 9.118E-07 3.229E+14 5.343E+07 1.747E+00
   2.350E+06 3.330E+04 1.149E+18 5.464E+02 1.185E+05 5.144E+07 1.962E-22 1.173E-09 1.139E-07 3.095E-03 4.600E-05 1.447E-08 9.055E-07 2.761E+14 5.291E+07 1.471E+00
   2.450E+06 2.847E+04 9.820E+17 3.881E+02 1.118E+05 3.683E+07 1.347E-20 1.269E-09 1.268E-07 3.230E-03 4.715E-05 1.161E-08 8.982E-07 2.360E+14 5.201E+07 1.232E+00
   2.550E+06 2.434E+04 8.395E+17 2.742E+02 1.047E+05 2.627E+07 5.052E-19 1.372E-09 1.402E-07 3.343E-03 4.808E-05 9.362E-09 8.897E-07 2.018E+14 5.080E+07 1.028E+00
   2.650E+06 2.081E+04 7.178E+17 1.930E+02 9.729E+04 1.870E+07 1.130E-17 1.482E-09 1.541E-07 3.435E-03 4.884E-05 7.582E-09 8.798E-07 1.725E+14 4.936E+07 8.558E-01
