 Gaussian points = 8
 FIXED SPECIES MIXING RATIOS:
    O2 =   2.100000000000000E-005  CO2 =   4.000000000000000E-004
 
    CH4 =   2.590435860605555E-009
 Standard CH3CL flux =  2.800E+08

 PO2= 7.417E-04  PNO= 2.805E-03  ZAPNO= 2.964E+02
 N= 3     X= 1.22526E-01  ERR= 5.46052E-08

 TIME = 0.0000E+00     TIMEY =   0.0000E+00 YEARS

 NPHOT =  0

 MIXING RATIOS OF LONG-LIVED SPECIES


     Z        H2CO     O        H2O      OH       HO2      H2O2     O3       H        H2       CH4      CO       CH3OOH  
  5.00E+04 1.39E-12 1.43E-13 1.13E-02 1.04E-10 1.14E-09 2.48E-08 6.63E-10 5.21E-13 5.88E-09 2.59E-09 2.72E-10 4.52E-12
  1.50E+05 5.25E-13 1.49E-13 6.98E-03 9.06E-11 9.68E-10 2.13E-08 7.67E-10 3.40E-13 5.00E-09 1.14E-09 1.16E-10 1.76E-12
  2.50E+05 2.30E-13 1.68E-13 4.15E-03 7.98E-11 8.04E-10 1.74E-08 8.95E-10 2.24E-13 4.09E-09 5.88E-10 1.36E-10 7.68E-13
  3.50E+05 1.15E-13 2.03E-13 2.26E-03 6.92E-11 6.36E-10 1.31E-08 1.06E-09 1.41E-13 3.33E-09 3.47E-10 1.84E-10 3.70E-13
  7.50E+05 1.98E-14 7.26E-13 1.66E-04 4.34E-11 2.21E-10 3.01E-09 2.52E-09 2.57E-14 1.94E-09 1.15E-10 7.19E-10 4.41E-14
  1.15E+06 5.06E-15 1.09E-11 9.32E-07 9.02E-12 1.86E-11 1.33E-10 1.84E-08 1.23E-15 1.88E-09 9.69E-11 8.10E-09 5.62E-15
  1.55E+06 2.72E-15 2.23E-11 9.30E-07 1.94E-11 2.80E-11 1.25E-10 7.47E-09 7.12E-15 3.86E-09 5.11E-11 1.13E-08 2.29E-15
  1.95E+06 9.32E-16 3.72E-11 9.18E-07 3.39E-11 4.35E-11 1.46E-10 2.98E-09 3.46E-14 1.57E-08 1.76E-11 1.64E-08 7.40E-16
  2.35E+06 3.87E-16 6.17E-11 8.86E-07 5.55E-11 6.46E-11 1.68E-10 1.29E-09 1.57E-13 4.68E-08 7.54E-12 2.37E-08 2.83E-16
  2.75E+06 2.09E-16 1.08E-10 8.25E-07 8.75E-11 9.01E-11 1.80E-10 6.09E-10 6.83E-13 1.06E-07 4.22E-12 3.39E-08 1.35E-16
