
     Z         PRESS      DEN     ProOH1    ProOH25    ProO3D    PO2D       PO2      PH2O      PO3D      PH2O2     FO3      FH2O      NumO2      NumOH      NumO1D
   5.000E+04 9.559E+05 2.428E+19 3.739E+05 1.014E+01 3.078E+06 0.000E+00 1.351E-16 3.707E-17 8.310E-06 2.328E-06 1.525E-08 1.127E-02 5.099E+17 1.420E+06 4.153E-03
   1.500E+05 8.495E+05 2.208E+19 2.837E+05 1.664E+01 3.605E+06 0.000E+00 3.662E-16 1.079E-16 8.919E-06 2.520E-06 1.830E-08 6.984E-03 4.639E+17 1.490E+06 5.560E-03
   2.500E+05 7.529E+05 2.004E+19 2.055E+05 2.325E+01 4.266E+06 0.000E+00 8.988E-16 2.794E-16 9.377E-06 2.693E-06 2.270E-08 4.153E-03 4.210E+17 1.550E+06 7.421E-03
   3.500E+05 6.654E+05 1.814E+19 1.315E+05 2.649E+01 4.924E+06 0.000E+00 1.999E-15 6.459E-16 9.621E-06 2.849E-06 2.821E-08 2.261E-03 3.812E+17 1.545E+06 9.582E-03
   4.500E+05 5.865E+05 1.627E+19 9.353E+04 3.124E+01 5.552E+06 0.000E+00 4.075E-15 1.356E-15 9.875E-06 2.990E-06 3.456E-08 1.416E-03 3.419E+17 1.618E+06 1.208E-02
   5.500E+05 5.158E+05 1.461E+19 5.659E+04 3.010E+01 6.056E+06 0.000E+00 7.692E-15 2.634E-15 9.961E-06 3.118E-06 4.161E-08 7.822E-04 3.072E+17 1.586E+06 1.466E-02
   6.500E+05 4.522E+05 1.314E+19 2.851E+04 2.368E+01 6.389E+06 0.000E+00 1.362E-14 4.826E-15 9.883E-06 3.236E-06 4.918E-08 3.733E-04 2.763E+17 1.411E+06 1.708E-02
   7.500E+05 3.951E+05 1.179E+19 1.296E+04 1.666E+01 6.562E+06 0.000E+00 2.287E-14 8.527E-15 9.717E-06 3.345E-06 5.727E-08 1.657E-04 2.479E+17 1.176E+06 1.938E-02
   8.500E+05 3.440E+05 1.055E+19 5.210E+03 1.043E+01 6.596E+06 0.000E+00 3.678E-14 1.487E-14 9.477E-06 3.447E-06 6.599E-08 6.649E-05 2.218E+17 9.891E+05 2.154E-02
   9.500E+05 2.979E+05 9.589E+18 9.665E+02 3.260E+00 6.357E+06 0.000E+00 5.751E-14 2.634E-14 8.741E-06 3.544E-06 7.584E-08 1.291E-05 2.017E+17 8.753E+05 2.233E-02
   1.050E+06 2.557E+05 8.821E+18 6.372E+01 3.886E-01 6.049E+06 0.000E+00 8.912E-14 4.859E-14 7.584E-06 3.640E-06 9.041E-08 9.066E-07 1.855E+17 8.511E+05 2.231E-02
   1.150E+06 2.184E+05 7.533E+18 7.532E+01 6.330E-01 7.107E+06 0.000E+00 1.370E-13 9.214E-14 7.816E-06 3.732E-06 1.207E-07 9.120E-07 1.584E+17 6.639E+05 3.070E-02
   1.250E+06 1.865E+05 6.433E+18 1.048E+02 1.032E+00 9.755E+06 0.000E+00 2.080E-13 1.735E-13 8.059E-06 3.821E-06 1.882E-07 9.244E-07 1.353E+17 4.628E+05 4.935E-02
   1.350E+06 1.593E+05 5.494E+18 1.627E+02 1.683E+00 1.474E+07 0.000E+00 3.156E-13 3.224E-13 8.353E-06 3.909E-06 3.212E-07 9.498E-07 1.155E+17 3.681E+05 8.732E-02
   1.450E+06 1.360E+05 4.692E+18 2.541E+02 2.765E+00 2.201E+07 0.000E+00 4.827E-13 5.931E-13 8.759E-06 4.001E-06 5.354E-07 9.937E-07 9.868E+16 3.822E+05 1.526E-01
   1.550E+06 1.162E+05 4.008E+18 3.780E+02 4.606E+00 3.077E+07 0.000E+00 7.477E-13 1.087E-12 9.361E-06 4.103E-06 8.202E-07 1.057E-06 8.428E+16 4.435E+05 2.499E-01
   1.650E+06 9.939E+04 3.364E+18 5.561E+02 7.619E+00 4.177E+07 2.696-278 1.166E-12 1.984E-12 1.070E-05 4.217E-06 1.161E-06 1.141E-06 7.074E+16 5.401E+05 4.080E-01
   1.750E+06 8.515E+04 2.882E+18 7.723E+02 1.295E+01 5.328E+07 7.960-241 1.825E-12 3.615E-12 1.204E-05 4.351E-06 1.536E-06 1.243E-06 6.060E+16 6.361E+05 6.075E-01
   1.850E+06 7.302E+04 2.442E+18 1.062E+03 2.180E+01 6.689E+07 1.313-208 2.848E-12 6.576E-12 1.428E-05 4.511E-06 1.918E-06 1.358E-06 5.134E+16 7.644E+05 9.058E-01
   1.950E+06 6.269E+04 2.096E+18 1.419E+03 3.692E+01 8.187E+07 3.290-181 4.406E-12 1.189E-11 1.701E-05 4.706E-06 2.297E-06 1.482E-06 4.407E+16 9.207E+05 1.292E+00
   2.050E+06 5.381E+04 1.799E+18 1.863E+03 6.164E+01 9.898E+07 1.330-157 6.738E-12 2.129E-11 2.079E-05 4.946E-06 2.647E-06 1.609E-06 3.783E+16 1.128E+06 1.819E+00
   2.150E+06 4.621E+04 1.539E+18 2.408E+03 1.001E+02 1.184E+08 2.942-137 1.012E-11 3.744E-11 2.611E-05 5.242E-06 2.947E-06 1.738E-06 3.235E+16 1.402E+06 2.550E+00
   2.250E+06 3.972E+04 1.316E+18 3.059E+03 1.574E+02 1.400E+08 8.657-120 1.487E-11 6.410E-11 3.334E-05 5.606E-06 3.191E-06 1.865E-06 2.767E+16 1.755E+06 3.532E+00
   2.350E+06 3.416E+04 1.127E+18 3.817E+03 2.384E+02 1.635E+08 8.769-105 2.132E-11 1.063E-10 4.305E-05 6.055E-06 3.371E-06 1.991E-06 2.369E+16 2.206E+06 4.830E+00
   2.450E+06 2.940E+04 9.655E+17 4.674E+03 3.469E+02 1.885E+08 6.936E-92 2.984E-11 1.700E-10 5.600E-05 6.606E-06 3.486E-06 2.113E-06 2.030E+16 2.774E+06 6.511E+00
