
     Z         PRESS      DEN     ProOH1    ProOH25    ProO3D    PO2D       PO2      PH2O      PO3D      PH2O2     FO3      FH2O      NumO2      NumOH      NumO1D
   5.000E+04 9.561E+05 2.429E+19 4.543E+05 3.730E+08 3.702E+06 0.000E+00 1.042E-10 1.363E-09 1.244E-04 7.274E-06 1.226E-09 1.127E-02 5.100E+15 4.258E+08 5.045E-03
   1.500E+05 8.500E+05 2.209E+19 3.844E+05 2.371E+08 4.835E+06 0.000E+00 1.089E-10 1.537E-09 1.379E-04 7.768E-06 1.587E-09 6.983E-03 4.739E+15 3.880E+08 7.530E-03
   2.500E+05 7.536E+05 2.006E+19 3.178E+05 1.450E+08 6.528E+06 0.000E+00 1.140E-10 1.741E-09 1.495E-04 8.216E-06 2.177E-09 4.153E-03 4.391E+15 3.371E+08 1.147E-02
   3.500E+05 6.662E+05 1.816E+19 2.445E+05 8.155E+07 9.056E+06 0.000E+00 1.197E-10 1.985E-09 1.587E-04 8.627E-06 3.141E-09 2.262E-03 4.054E+15 2.738E+08 1.779E-02
   4.500E+05 5.875E+05 1.629E+19 2.119E+05 5.268E+07 1.244E+07 0.000E+00 1.261E-10 2.282E-09 1.671E-04 9.006E-06 4.567E-09 1.417E-03 3.702E+15 2.367E+08 2.732E-02
   5.500E+05 5.168E+05 1.464E+19 1.763E+05 3.036E+07 1.864E+07 0.000E+00 1.334E-10 2.648E-09 1.742E-04 9.364E-06 7.310E-09 7.832E-04 3.381E+15 1.877E+08 4.551E-02
   6.500E+05 4.533E+05 1.318E+19 1.352E+05 1.533E+07 2.993E+07 0.000E+00 1.420E-10 3.112E-09 1.804E-04 9.717E-06 1.259E-08 3.740E-04 3.087E+15 1.357E+08 8.068E-02
   7.500E+05 3.962E+05 1.182E+19 9.603E+04 7.309E+06 4.794E+07 0.000E+00 1.524E-10 3.719E-09 1.867E-04 1.009E-05 2.171E-08 1.662E-04 2.803E+15 9.392E+07 1.427E-01
   8.500E+05 3.451E+05 1.058E+19 5.910E+04 3.210E+06 7.364E+07 0.000E+00 1.658E-10 4.538E-09 1.942E-04 1.052E-05 3.583E-08 6.685E-05 2.530E+15 6.251E+07 2.422E-01
   9.500E+05 2.989E+05 9.624E+18 1.698E+04 7.111E+05 1.094E+08 1.408-138 1.831E-10 5.666E-09 2.026E-04 1.104E-05 5.612E-08 1.304E-05 2.313E+15 3.000E+07 3.867E-01
   1.050E+06 2.568E+05 8.857E+18 1.753E+03 6.017E+04 1.603E+08 2.561-106 2.068E-10 7.288E-09 2.141E-04 1.173E-05 8.454E-08 9.321E-07 2.128E+15 1.076E+07 5.947E-01
   1.150E+06 2.194E+05 7.567E+18 2.456E+03 6.865E+04 2.246E+08 2.590E-92 2.408E-10 9.731E-09 2.445E-04 1.273E-05 1.214E-07 9.322E-07 1.818E+15 1.141E+07 9.752E-01
   1.250E+06 1.874E+05 6.465E+18 3.349E+03 7.957E+04 3.062E+08 2.391E-80 2.873E-10 1.320E-08 2.970E-04 1.418E-05 1.595E-07 9.323E-07 1.553E+15 1.400E+07 1.556E+00
   1.350E+06 1.601E+05 5.524E+18 4.184E+03 9.251E+04 3.825E+08 3.994E-70 3.485E-10 1.796E-08 3.916E-04 1.628E-05 1.768E-07 9.324E-07 1.326E+15 1.839E+07 2.275E+00
   1.450E+06 1.368E+05 4.720E+18 4.702E+03 1.058E+05 4.299E+08 2.171E-61 4.226E-10 2.403E-08 5.567E-04 1.917E-05 1.636E-07 9.324E-07 1.133E+15 2.457E+07 2.992E+00
   1.550E+06 1.169E+05 4.033E+18 4.782E+03 1.173E+05 4.373E+08 6.335E-54 5.038E-10 3.121E-08 8.112E-04 2.275E-05 1.337E-07 9.321E-07 9.687E+14 3.201E+07 3.563E+00
   1.650E+06 9.993E+04 3.447E+18 4.403E+03 1.261E+05 4.029E+08 1.524E-47 5.870E-10 3.928E-08 1.141E-03 2.673E-05 1.025E-07 9.314E-07 8.280E+14 3.940E+07 3.841E+00
   1.750E+06 8.540E+04 2.946E+18 3.713E+03 1.318E+05 3.403E+08 4.355E-42 6.694E-10 4.810E-08 1.503E-03 3.070E-05 7.688E-08 9.302E-07 7.077E+14 4.550E+07 3.796E+00
