     zkm      EDD      DI(LH,J)  DI(LH2,J)
  5.000E-01 1.000E+05 1.076E+00 7.736E-01
  1.500E+00 1.000E+05 1.169E+00 8.409E-01
  2.500E+00 1.000E+05 1.273E+00 9.158E-01
  3.500E+00 1.000E+05 1.390E+00 9.994E-01
  4.500E+00 1.000E+05 1.537E+00 1.105E+00
  5.500E+00 1.000E+05 1.693E+00 1.217E+00
  6.500E+00 1.000E+05 1.858E+00 1.336E+00
  7.500E+00 1.000E+05 2.044E+00 1.470E+00
  8.500E+00 1.000E+05 2.254E+00 1.621E+00
  9.500E+00 8.944E+04 2.420E+00 1.740E+00
  1.050E+01 4.899E+04 2.541E+00 1.827E+00
  1.150E+01 2.258E+04 2.976E+00 2.140E+00
  1.250E+01 1.166E+04 3.484E+00 2.506E+00
  1.350E+01 6.812E+03 4.080E+00 2.934E+00
  1.450E+01 5.165E+03 4.777E+00 3.435E+00
  1.550E+01 4.290E+03 5.593E+00 4.022E+00
  1.650E+01 3.950E+03 6.726E+00 4.837E+00
  1.750E+01 3.900E+03 7.851E+00 5.646E+00
  1.850E+01 3.999E+03 9.325E+00 6.706E+00
  1.950E+01 4.343E+03 1.086E+01 7.812E+00
  2.050E+01 4.844E+03 1.265E+01 9.100E+00
  2.150E+01 5.439E+03 1.483E+01 1.067E+01
  2.250E+01 6.187E+03 1.737E+01 1.249E+01
  2.350E+01 7.036E+03 2.034E+01 1.463E+01
  2.450E+01 7.984E+03 2.379E+01 1.711E+01
  2.550E+01 8.986E+03 2.781E+01 2.000E+01
  2.650E+01 1.003E+04 3.248E+01 2.336E+01
  2.750E+01 1.128E+04 3.792E+01 2.727E+01
  2.850E+01 1.249E+04 4.422E+01 3.180E+01
  2.950E+01 1.363E+04 5.154E+01 3.707E+01
  3.050E+01 1.513E+04 6.002E+01 4.317E+01
  3.150E+01 1.669E+04 6.986E+01 5.024E+01
  3.250E+01 1.818E+04 8.124E+01 5.843E+01
  3.350E+01 1.998E+04 9.529E+01 6.853E+01
  3.450E+01 2.198E+04 1.118E+02 8.039E+01
  3.550E+01 2.445E+04 1.309E+02 9.411E+01
  3.650E+01 2.746E+04 1.529E+02 1.100E+02
  3.750E+01 3.046E+04 1.731E+02 1.245E+02
  3.850E+01 3.394E+04 1.964E+02 1.413E+02
  3.950E+01 3.795E+04 2.232E+02 1.605E+02
  4.050E+01 4.195E+04 2.522E+02 1.814E+02
  4.150E+01 4.643E+04 2.856E+02 2.054E+02
  4.250E+01 5.191E+04 3.238E+02 2.329E+02
  4.350E+01 5.840E+04 3.701E+02 2.662E+02
  4.450E+01 6.445E+04 4.236E+02 3.046E+02
  4.550E+01 7.136E+04 4.853E+02 3.490E+02
  4.650E+01 7.990E+04 5.568E+02 4.004E+02
  4.750E+01 8.791E+04 6.395E+02 4.599E+02
  4.850E+01 9.687E+04 7.354E+02 5.289E+02
  4.950E+01 1.069E+05 8.469E+02 6.090E+02
  5.050E+01 1.178E+05 9.831E+02 7.070E+02
  5.150E+01 1.318E+05 1.142E+03 8.213E+02
  5.250E+01 1.483E+05 1.328E+03 9.547E+02
  5.350E+01 1.658E+05 1.544E+03 1.111E+03
  5.450E+01 1.833E+05 1.798E+03 1.293E+03
  5.550E+01 2.018E+05 2.094E+03 1.506E+03
  5.650E+01 2.256E+05 2.441E+03 1.755E+03
  5.750E+01 2.522E+05 2.847E+03 2.048E+03
  5.850E+01 2.772E+05 3.323E+03 2.390E+03
  5.950E+01 3.070E+05 3.882E+03 2.792E+03
  6.050E+01 3.421E+05 4.571E+03 3.287E+03
  6.150E+01 3.795E+05 5.381E+03 3.870E+03
  6.250E+01 4.219E+05 6.335E+03 4.556E+03
  6.350E+01 4.717E+05 7.457E+03 5.363E+03
  6.450E+01 5.174E+05 8.778E+03 6.313E+03
  6.550E+01 5.674E+05 1.033E+04 7.430E+03
  6.650E+01 6.224E+05 1.216E+04 8.745E+03
  6.750E+01 6.826E+05 1.431E+04 1.029E+04
  6.850E+01 7.487E+05 1.684E+04 1.211E+04
  6.950E+01 8.212E+05 1.982E+04 1.425E+04
  7.050E+01 9.007E+05 2.333E+04 1.677E+04
  7.150E+01 9.879E+05 2.745E+04 1.974E+04
  7.250E+01 1.000E+06 3.229E+04 2.322E+04
  7.350E+01 1.000E+06 3.800E+04 2.733E+04
  7.450E+01 1.000E+06 4.470E+04 3.215E+04
  7.550E+01 1.000E+06 5.259E+04 3.782E+04
  7.650E+01 1.000E+06 6.187E+04 4.449E+04
  7.750E+01 1.000E+06 7.278E+04 5.234E+04
  7.850E+01 1.000E+06 8.560E+04 6.156E+04
  7.950E+01 1.000E+06 9.969E+04 7.169E+04
  8.050E+01 1.000E+06 1.152E+05 8.285E+04
  8.150E+01 1.000E+06 1.347E+05 9.685E+04
  8.250E+01 1.000E+06 1.560E+05 1.122E+05
  8.350E+01 1.000E+06 1.830E+05 1.316E+05
  8.450E+01 1.000E+06 2.140E+05 1.539E+05
  8.550E+01 1.000E+06 2.500E+05 1.798E+05
  8.650E+01 1.000E+06 2.973E+05 2.138E+05
  8.750E+01 1.000E+06 3.535E+05 2.542E+05
  8.850E+01 1.000E+06 4.203E+05 3.023E+05
  8.950E+01 1.000E+06 4.998E+05 3.594E+05
  9.050E+01 1.000E+06 5.991E+05 4.308E+05
  9.150E+01 1.000E+06 7.222E+05 5.194E+05
  9.250E+01 1.000E+06 8.624E+05 6.202E+05
  9.350E+01 1.000E+06 1.033E+06 7.427E+05
  9.450E+01 1.000E+06 1.235E+06 8.879E+05
  9.550E+01 1.000E+06 1.469E+06 1.056E+06
  9.650E+01 1.000E+06 1.752E+06 1.260E+06
  9.750E+01 1.000E+06 2.087E+06 1.501E+06
  9.850E+01 1.000E+06 2.491E+06 1.791E+06
  9.950E+01 1.000E+06 2.968E+06 2.134E+06
