 Gaussian points = 8
 FIXED SPECIES MIXING RATIOS:
    O2 =   2.100000000000000E-004  CO2 =   4.000000000000000E-004
 
    CH4 =   1.013654577153145E-008
 Low CH3CL flux      =  9.733E+06

 PO2= 7.853E-04  PNO= 2.886E-03  ZAPNO= 3.050E+02
 N= 3     X= 1.25804E-01  ERR= 2.35642E-06

 TIME = 0.0000E+00     TIMEY =   0.0000E+00 YEARS

 NPHOT =  0

 MIXING RATIOS OF LONG-LIVED SPECIES


     Z        H2CO     O        H2O      OH       HO2      H2O2     O3       H        H2       CH4      CO       CH3OOH  
  5.00E+04 5.32E-12 5.96E-15 1.13E-02 1.75E-11 3.26E-10 1.18E-08 1.23E-09 3.27E-15 1.10E-10 1.01E-08 1.10E-09 2.93E-11
  1.50E+05 3.42E-12 8.89E-15 6.98E-03 1.76E-11 2.72E-10 8.57E-09 1.59E-09 2.61E-15 1.09E-10 7.51E-09 3.02E-10 1.66E-11
  2.50E+05 2.31E-12 1.40E-14 4.15E-03 1.68E-11 2.24E-10 6.34E-09 2.18E-09 2.03E-15 1.10E-10 5.94E-09 2.09E-10 1.02E-11
  3.50E+05 1.64E-12 2.31E-14 2.26E-03 1.51E-11 1.79E-10 4.70E-09 3.14E-09 1.46E-15 1.14E-10 4.99E-09 2.12E-10 6.80E-12
  7.50E+05 6.17E-13 3.05E-13 1.66E-04 7.94E-12 7.69E-11 1.86E-09 2.17E-08 4.08E-16 1.63E-10 3.75E-09 8.83E-10 2.58E-12
  1.15E+06 1.40E-13 3.34E-12 9.32E-07 1.51E-12 1.11E-11 1.97E-10 1.21E-07 3.36E-17 3.12E-10 3.58E-09 8.01E-09 4.17E-13
  1.55E+06 1.18E-13 2.86E-11 9.32E-07 7.94E-12 1.61E-11 8.52E-11 1.34E-07 5.07E-16 2.51E-09 2.50E-09 9.70E-09 1.38E-13
  1.95E+06 5.43E-14 7.48E-11 9.26E-07 2.44E-11 2.16E-11 5.79E-11 4.34E-08 4.73E-15 1.12E-08 1.10E-09 1.05E-08 2.99E-14
  2.35E+06 2.58E-14 1.27E-10 9.06E-07 4.66E-11 3.48E-11 6.76E-11 1.54E-08 2.71E-14 3.09E-08 5.28E-10 1.51E-08 1.22E-14
  2.75E+06 1.49E-14 2.05E-10 8.69E-07 7.81E-11 5.53E-11 8.37E-11 6.28E-09 1.33E-13 6.73E-08 3.13E-10 2.29E-08 6.71E-15
  3.15E+06 9.42E-15 3.42E-10 8.06E-07 1.23E-10 8.36E-11 1.01E-10 2.85E-09 6.24E-13 1.29E-07 2.01E-10 3.47E-08 3.98E-15
  3.55E+06 1.22E-14 6.11E-10 7.06E-07 1.87E-10 1.25E-10 1.24E-10 1.42E-09 3.02E-12 2.27E-07 1.13E-10 5.92E-08 2.08E-15
  3.95E+06 3.14E-14 1.11E-09 5.68E-07 3.03E-10 2.16E-10 2.02E-10 7.32E-10 1.75E-11 3.64E-07 4.43E-11 1.46E-07 8.36E-16
  4.35E+06 3.05E-14 2.25E-09 3.94E-07 4.67E-10 3.72E-10 3.38E-10 4.19E-10 1.13E-10 5.36E-07 1.13E-11 4.70E-07 2.24E-16
  4.75E+06 1.64E-14 6.60E-09 2.07E-07 5.40E-10 4.71E-10 3.33E-10 3.38E-10 7.54E-10 7.21E-07 2.24E-12 2.02E-06 3.95E-17
  5.15E+06 7.15E-15 3.89E-08 7.13E-08 3.86E-10 2.73E-10 7.70E-11 5.12E-10 4.47E-09 8.54E-07 4.30E-13 7.82E-06 2.74E-18
  5.55E+06 1.57E-15 7.91E-07 1.93E-08 1.11E-10 4.57E-11 2.63E-12 2.26E-09 2.53E-08 8.95E-07 9.47E-14 1.84E-05 4.26E-20
  5.95E+06 8.97E-17 1.42E-05 4.70E-09 2.11E-11 2.98E-12 2.07E-14 1.10E-08 5.38E-08 8.95E-07 2.55E-14 3.02E-05 6.03E-22
  6.35E+06 1.58E-17 5.71E-05 1.31E-09 6.85E-12 4.63E-13 2.65E-16 1.39E-08 6.63E-08 8.92E-07 8.53E-15 4.13E-05 2.24E-23
  6.75E+06 5.68E-18 1.30E-04 4.40E-10 2.08E-12 1.04E-13 6.60E-18 9.17E-09 7.24E-08 8.90E-07 3.52E-15 5.18E-05 1.95E-24
  7.15E+06 3.27E-18 2.15E-04 1.78E-10 5.71E-13 2.87E-14 3.06E-19 3.97E-09 7.55E-08 8.88E-07 1.74E-15 6.15E-05 2.85E-25
  7.55E+06 2.41E-18 2.99E-04 8.01E-11 1.45E-13 8.78E-15 2.08E-20 1.33E-09 7.73E-08 8.87E-07 9.55E-16 7.11E-05 5.08E-26
  7.95E+06 1.91E-18 3.81E-04 3.57E-11 3.48E-14 2.74E-15 1.50E-21 3.73E-10 7.84E-08 8.85E-07 5.23E-16 8.16E-05 8.85E-27
  8.35E+06 1.59E-18 4.51E-04 1.59E-11 8.91E-15 8.81E-16 1.15E-22 9.23E-11 7.90E-08 8.83E-07 2.88E-16 9.23E-05 1.54E-27
  8.75E+06 1.37E-18 5.12E-04 7.20E-12 3.10E-15 2.89E-16 9.38E-24 2.13E-11 7.92E-08 8.80E-07 1.61E-16 1.02E-04 2.69E-28
  9.15E+06 1.20E-18 5.69E-04 3.37E-12 1.85E-15 9.59E-17 8.28E-25 4.75E-12 7.92E-08 8.75E-07 9.32E-17 1.11E-04 4.78E-29
  9.55E+06 1.06E-18 6.34E-04 1.70E-12 1.65E-15 3.13E-17 8.16E-26 1.05E-12 7.88E-08 8.64E-07 5.75E-17 1.19E-04 8.65E-30
  9.95E+06 1.01E-18 7.21E-04 1.07E-12 1.67E-15 9.58E-18 1.34E-26 2.32E-13 7.78E-08 8.45E-07 4.11E-17 1.25E-04 2.16E-30
     Z        H2CO     O        H2O      OH       HO2      H2O2     O3       H        H2       CH4      CO       CH3OOH  

     Z        CH3O2    N2O      NO       NO2      HNO2     HNO3     HO2NO2   NO3      N2O5     CL2O2    CH3CL    HOCL    
  5.00E+04 1.00E-12 5.75E-10 3.36E-15 7.58E-14 6.59E-15 6.70E-12 4.48E-14 1.05E-14 5.89E-19 4.45E-24 2.17E-13 2.82E-13
  1.50E+05 6.49E-13 5.38E-10 7.16E-15 1.24E-13 1.26E-14 9.62E-12 1.19E-13 1.64E-14 2.43E-18 1.60E-23 8.66E-14 3.32E-13
  2.50E+05 4.39E-13 5.03E-10 1.51E-14 1.96E-13 2.26E-14 1.31E-11 2.80E-13 2.32E-14 9.13E-18 5.30E-23 3.89E-14 3.70E-13
  3.50E+05 3.13E-13 4.71E-10 3.11E-14 2.92E-13 3.70E-14 1.65E-11 5.39E-13 2.84E-14 3.05E-17 1.78E-22 1.98E-14 4.02E-13
  7.50E+05 1.20E-13 3.66E-10 3.07E-13 8.99E-13 1.13E-13 2.39E-11 1.81E-12 2.54E-14 8.83E-16 1.74E-20 4.21E-15 4.85E-13
