 Gaussian points = 8
 FIXED SPECIES MIXING RATIOS:
    O2 =   2.100000000000000E-004  CO2 =   4.000000000000000E-004
 
    CH4 =   1.257802702961927E-011
 Low CH3CL flux      =  0.000E+00

 PO2= 7.853E-04  PNO= 2.886E-03  ZAPNO= 3.050E+02
 N= 3     X= 1.25800E-01  ERR= 2.35839E-06

 TIME = 0.0000E+00     TIMEY =   0.0000E+00 YEARS

 NPHOT =  0

 MIXING RATIOS OF LONG-LIVED SPECIES


     Z        H2CO     O        H2O      OH       HO2      H2O2     O3       H        H2       CH4      CO       CH3OOH  
  5.00E+04 2.77E-12 1.71E-15 1.13E-02 2.39E-12 2.00E-11 2.13E-12 2.66E-13 7.22E-15 1.45E-13 1.26E-11 4.47E-07 1.59E-10
  1.50E+05 3.33E-16 1.96E-15 6.98E-03 2.12E-12 2.04E-12 9.73E-15 4.12E-14 5.25E-15 1.00E-15 5.80E-15 1.77E-07 8.45E-12
  2.50E+05 4.45E-18 2.35E-15 4.15E-03 2.08E-12 1.49E-12 8.13E-15 4.92E-14 3.95E-15 3.15E-16 3.25E-18 7.65E-08 4.74E-13
  3.50E+05 2.96E-19 2.86E-15 2.26E-03 1.81E-12 1.12E-12 6.75E-15 6.63E-14 2.82E-15 2.28E-16 2.49E-21 3.78E-08 3.12E-14
  7.50E+05 4.47E-23 7.30E-15 1.66E-04 8.37E-13 3.39E-13 2.28E-15 2.40E-13 7.84E-16 1.20E-16 4.00E-26 1.64E-08 4.45E-18
  1.15E+06 3.37E-19 1.91E-14 9.33E-07 4.24E-14 2.89E-14 2.51E-17 1.29E-12 5.48E-17 6.21E-12 5.21E-16 3.88E-08 8.98E-15
  1.55E+06 3.67E-13 1.48E-12 9.33E-07 6.40E-12 1.45E-11 6.38E-11 2.97E-09 3.93E-16 2.49E-09 1.76E-09 1.29E-08 1.78E-12
  1.95E+06 5.39E-14 7.71E-11 9.26E-07 2.50E-11 2.12E-11 5.43E-11 3.60E-08 4.89E-15 1.12E-08 1.10E-09 1.03E-08 2.85E-14
  2.35E+06 2.55E-14 1.28E-10 9.06E-07 4.68E-11 3.47E-11 6.55E-11 1.37E-08 2.73E-14 3.09E-08 5.28E-10 1.51E-08 1.20E-14
  2.75E+06 1.48E-14 2.05E-10 8.69E-07 7.82E-11 5.54E-11 8.14E-11 5.69E-09 1.34E-13 6.73E-08 3.13E-10 2.28E-08 6.64E-15
  3.15E+06 9.31E-15 3.42E-10 8.06E-07 1.23E-10 8.37E-11 9.84E-11 2.61E-09 6.25E-13 1.29E-07 2.01E-10 3.47E-08 3.93E-15
  3.55E+06 1.20E-14 6.11E-10 7.06E-07 1.87E-10 1.25E-10 1.21E-10 1.31E-09 3.02E-12 2.27E-07 1.13E-10 5.92E-08 2.06E-15
