 Gaussian points = 8
 FIXED SPECIES MIXING RATIOS:
    O2 =   2.100000000000000E-003  CO2 =   4.000000000000000E-004
 
    CH4 =   1.053742436698481E-006
 Standard CH3CL flux =  2.800E+08

 PO2= 1.273E-03  PNO= 3.670E-03  ZAPNO= 3.777E+03
 N= 4     X= 1.56518E-01  ERR= 4.16788E-06

 TIME = 0.0000E+00     TIMEY =   0.0000E+00 YEARS

 NPHOT =  0

 MIXING RATIOS OF LONG-LIVED SPECIES


     Z        H2CO     O        H2O      OH       HO2      H2O2     O3       H        H2       CH4      CO       CH3OOH  
  5.00E+04 9.82E-11 1.46E-15 1.13E-02 6.22E-14 1.13E-11 1.08E-09 5.25E-09 5.60E-19 3.05E-07 1.05E-06 6.37E-08 1.02E-09
  1.50E+05 1.06E-10 2.46E-15 6.98E-03 7.95E-14 1.17E-11 1.14E-09 7.49E-09 6.54E-19 3.05E-07 1.05E-06 5.61E-08 1.09E-09
  2.50E+05 1.12E-10 4.51E-15 4.15E-03 1.02E-13 1.20E-11 1.15E-09 1.17E-08 7.68E-19 3.06E-07 1.05E-06 4.95E-08 1.14E-09
  3.50E+05 1.10E-10 8.21E-15 2.26E-03 1.20E-13 1.18E-11 1.09E-09 1.81E-08 8.41E-19 3.06E-07 1.04E-06 4.40E-08 1.10E-09
  7.50E+05 6.38E-11 6.42E-14 1.66E-04 1.67E-13 9.01E-12 5.36E-10 7.04E-08 1.01E-18 3.07E-07 1.03E-06 3.05E-08 5.44E-10
  1.15E+06 1.65E-11 3.26E-13 9.38E-07 1.46E-13 3.76E-12 1.19E-10 1.99E-07 7.24E-19 3.08E-07 1.03E-06 2.36E-08 8.41E-11
  1.55E+06 1.91E-11 5.32E-12 1.15E-06 5.28E-13 5.87E-12 6.86E-11 7.96E-07 2.66E-18 3.09E-07 9.16E-07 1.11E-08 7.86E-11
  1.95E+06 2.50E-11 2.81E-11 1.70E-06 2.98E-12 1.41E-11 9.40E-11 7.61E-07 3.73E-17 3.02E-07 6.47E-07 1.03E-08 5.84E-11
  2.35E+06 2.22E-11 1.13E-10 2.20E-06 1.49E-11 2.01E-11 4.76E-11 3.45E-07 6.91E-16 2.96E-07 3.99E-07 8.99E-09 1.86E-11
  2.75E+06 1.67E-11 3.59E-10 2.47E-06 4.15E-11 2.81E-11 3.60E-11 1.56E-07 9.24E-15 3.18E-07 2.49E-07 1.00E-08 7.73E-12
  3.15E+06 1.20E-11 8.56E-10 2.57E-06 8.76E-11 4.87E-11 4.62E-11 7.67E-08 8.21E-14 3.87E-07 1.63E-07 1.36E-08 4.78E-12
  3.55E+06 8.05E-12 1.53E-09 2.54E-06 1.71E-10 9.03E-11 7.30E-11 3.45E-08 5.31E-13 5.19E-07 1.10E-07 1.97E-08 3.07E-12
  3.95E+06 6.08E-12 2.36E-09 2.41E-06 3.15E-10 1.65E-10 1.22E-10 1.46E-08 2.88E-12 7.20E-07 7.15E-08 3.17E-08 1.75E-12
  4.35E+06 1.32E-11 3.18E-09 2.19E-06 6.45E-10 3.45E-10 2.61E-10 5.58E-09 1.59E-11 9.97E-07 3.85E-08 6.98E-08 8.00E-13
  4.75E+06 2.05E-11 4.54E-09 1.88E-06 1.35E-09 7.35E-10 5.87E-10 2.27E-09 9.67E-11 1.35E-06 1.53E-08 1.76E-07 2.86E-13
  5.15E+06 1.58E-11 8.10E-09 1.45E-06 2.35E-09 1.23E-09 9.02E-10 1.14E-09 5.58E-10 1.78E-06 4.71E-09 4.23E-07 7.74E-14
  5.55E+06 9.16E-12 1.77E-08 9.83E-07 3.35E-09 1.56E-09 8.66E-10 6.85E-10 2.92E-09 2.25E-06 1.36E-09 1.09E-06 1.73E-14
  5.95E+06 5.49E-12 5.68E-08 5.54E-07 3.61E-09 1.41E-09 4.64E-10 5.58E-10 1.59E-08 2.66E-06 4.21E-10 2.99E-06 2.89E-15
  6.35E+06 2.47E-12 3.44E-06 2.50E-07 5.47E-10 2.06E-10 4.99E-11 4.67E-09 2.07E-07 2.87E-06 1.52E-10 6.79E-06 1.54E-16
  6.75E+06 1.68E-13 7.45E-05 1.02E-07 8.33E-11 1.23E-11 1.31E-12 2.49E-08 4.78E-07 2.88E-06 6.53E-11 1.09E-05 7.09E-18
  7.15E+06 4.82E-14 2.64E-04 4.75E-08 3.03E-11 2.24E-12 4.96E-14 3.12E-08 5.96E-07 2.87E-06 3.32E-11 1.49E-05 5.66E-19
  7.55E+06 2.34E-14 5.87E-04 2.37E-08 1.10E-11 5.48E-13 2.43E-15 2.41E-08 6.54E-07 2.86E-06 1.85E-11 1.93E-05 6.20E-20
  7.95E+06 1.34E-14 1.09E-03 1.14E-08 3.52E-12 1.46E-13 1.18E-16 1.38E-08 6.88E-07 2.85E-06 1.03E-11 2.54E-05 6.98E-21
  8.35E+06 8.83E-15 1.72E-03 5.31E-09 9.92E-13 4.12E-14 6.16E-18 5.94E-09 7.09E-07 2.84E-06 5.71E-12 3.33E-05 8.16E-22
  8.75E+06 6.64E-15 2.39E-03 2.46E-09 2.54E-13 1.22E-14 3.65E-19 2.00E-09 7.20E-07 2.83E-06 3.21E-12 4.25E-05 1.01E-22
  9.15E+06 5.56E-15 3.03E-03 1.17E-09 6.59E-14 3.76E-15 2.54E-20 5.62E-10 7.24E-07 2.81E-06 1.86E-12 5.18E-05 1.33E-23
  9.55E+06 5.14E-15 3.64E-03 5.92E-10 2.20E-14 1.17E-15 2.14E-21 1.42E-10 7.22E-07 2.77E-06 1.15E-12 6.04E-05 1.93E-24
  9.95E+06 5.43E-15 4.34E-03 3.72E-10 1.23E-14 3.49E-16 3.20E-22 3.39E-11 7.14E-07 2.71E-06 8.19E-13 6.75E-05 4.24E-25
     Z        H2CO     O        H2O      OH       HO2      H2O2     O3       H        H2       CH4      CO       CH3OOH  

     Z        CH3O2    N2O      NO       NO2      HNO2     HNO3     HO2NO2   NO3      N2O5     CL2O2    CH3CL    HOCL    
