     zkm      totH2O    totH      totH2    totCH4    tothyd
  5.000E-01 1.127E-02 3.289E-20 4.819E-07 2.882E-06 1.127E-02
  1.500E+00 6.984E-03 3.551E-20 4.822E-07 2.874E-06 6.987E-03
  2.500E+00 4.153E-03 3.837E-20 4.825E-07 2.868E-06 4.156E-03
  3.500E+00 2.261E-03 4.021E-20 4.829E-07 2.862E-06 2.264E-03
  4.500E+00 1.416E-03 4.579E-20 4.832E-07 2.858E-06 1.419E-03
  5.500E+00 7.822E-04 4.873E-20 4.835E-07 2.854E-06 7.855E-04
  6.500E+00 3.733E-04 4.718E-20 4.838E-07 2.851E-06 3.766E-04
  7.500E+00 1.657E-04 4.318E-20 4.840E-07 2.849E-06 1.690E-04
  8.500E+00 6.649E-05 4.043E-20 4.842E-07 2.847E-06 6.982E-05
  9.500E+00 1.291E-05 3.742E-20 4.843E-07 2.845E-06 1.624E-05
  1.050E+01 9.066E-07 3.595E-20 4.844E-07 2.842E-06 4.233E-06
  1.150E+01 9.120E-07 3.524E-20 4.845E-07 2.837E-06 4.233E-06
  1.250E+01 9.244E-07 3.020E-20 4.847E-07 2.824E-06 4.233E-06
  1.350E+01 9.498E-07 2.844E-20 4.849E-07 2.798E-06 4.233E-06
  1.450E+01 9.937E-07 3.355E-20 4.850E-07 2.754E-06 4.233E-06
  1.550E+01 1.057E-06 4.327E-20 4.849E-07 2.690E-06 4.232E-06
  1.650E+01 1.141E-06 6.359E-20 4.844E-07 2.606E-06 4.232E-06
  1.750E+01 1.243E-06 8.631E-20 4.833E-07 2.505E-06 4.231E-06
  1.850E+01 1.358E-06 1.340E-19 4.814E-07 2.391E-06 4.230E-06
  1.950E+01 1.482E-06 2.076E-19 4.788E-07 2.269E-06 4.229E-06
  2.050E+01 1.609E-06 3.458E-19 4.754E-07 2.144E-06 4.228E-06
  2.150E+01 1.738E-06 6.271E-19 4.714E-07 2.018E-06 4.227E-06
  2.250E+01 1.865E-06 1.194E-18 4.667E-07 1.894E-06 4.226E-06
  2.350E+01 1.991E-06 2.363E-18 4.616E-07 1.773E-06 4.225E-06
  2.450E+01 2.113E-06 4.820E-18 4.561E-07 1.654E-06 4.224E-06
  2.550E+01 2.233E-06 1.010E-17 4.504E-07 1.539E-06 4.223E-06
  2.650E+01 2.350E-06 2.164E-17 4.446E-07 1.428E-06 4.222E-06
  2.750E+01 2.462E-06 4.735E-17 4.390E-07 1.320E-06 4.221E-06
  2.850E+01 2.570E-06 1.054E-16 4.339E-07 1.216E-06 4.219E-06
  2.950E+01 2.673E-06 2.383E-16 4.296E-07 1.116E-06 4.218E-06
  3.050E+01 2.770E-06 5.456E-16 4.265E-07 1.020E-06 4.217E-06
  3.150E+01 2.859E-06 1.257E-15 4.253E-07 9.310E-07 4.215E-06
  3.250E+01 2.940E-06 2.860E-15 4.264E-07 8.476E-07 4.214E-06
  3.350E+01 3.011E-06 6.416E-15 4.306E-07 7.707E-07 4.212E-06
  3.450E+01 3.071E-06 1.357E-14 4.386E-07 7.011E-07 4.210E-06
  3.550E+01 3.118E-06 2.692E-14 4.512E-07 6.395E-07 4.209E-06
  3.650E+01 3.152E-06 5.054E-14 4.686E-07 5.863E-07 4.207E-06
